"5. For a linear electromagnetic circuit, which of the following statement is true?",a) Field energy is less than the Co-energy,b) Field energy is equal to the Co-energy,c) Field energy is greater than the Co-energy,d) Co-energy is zero,b,Explanation: Wfld=Wfld1=1/2 _*i=1/2 F*_.
"6. The electromagnetic force and/or torque, developed in any physical system, acts in such a direction as to tend to ____________",a) decrease the magnetic stored energy at constant mmf,b) decrease the magnetic stored energy at constant flux,c) increase the magnetic stored energy at constant flux,d) increase the magnetic stored energy at constant current,b,"Explanation: fe=-(∂Wfld (_,x))/∂x= -(∂Wfld (_,x))/∂x  and Te=-(∂Wfld(_,_))/∂_=-(∂Wfld (_,_))/∂_The negative sign before ∂Wfld indicates that fe acts in a direction as to tend to decrease the stored energy at constant mmf."
7. The electromagnetic force developed in any physical system acts in such a direction as to tend to _____________,a) decrease the co-energy at constant mmf,b) increase the co-energy at constant flux,c) decrease the co-energy at constant flux,d) increase the co-energy at constant mmf,d,"Explanation: fe=(∂Wfld1 (i,x))/∂x=(∂Wfld1 (F,x))/∂x, the positive sign before ∂Wfld1 indicates that force fe acts in a direction as to tend to increase the co-energy at constant mmf."
"8. Consider a magnetic relay with linear magnetization curve in both of its open and closed position. What happens to the electrical energy input to the relay, when the armature moves slowly from open position to closed position ?",a) Welec=Wfld,b) Welec=Wmech,c) Welec=Wmech/2+Wfld/2,d) Welec=0,c,"Explanation: For the above mentioned case, Wfld=Wmech and Wfld=Welec/2 hence, option “c” is the correct answer."
"9. The electromagnetic torque developed in any physical system, and with magnetic saturation neglected, acts in  such a direction as to tend to ____________",a) decrease both the reluctance and inductance,b) increase both the reluctance and inductance,c) decrease the reluctance and increase the inductance,d) increase the reluctance and decrease the inductance,c,"Explanation: fe=1/2 _2  dRl/dx  , Te=-1/2 _2  dRl/d_=  1/2 i2  dL/d_."
"10. Electromagnetic force and/or torque developed in any physical system, acts in such a direction as to tend to ____________",a) increase both the field energy and co-energy at constant current,b) increase the field energy and decrease the co-energy at constant current,c) decrease both the field energy and co-energy at constant current,d) decrease the field energy and increase the co-energy at constant current,a,"Explanation: fe=  (∂Wfld1(i,x))/∂x=(∂Wfld(i,x))/∂x."
1. What is the angle between stator direct axis and quadrature axis ?,a) 90°,b) 0°,c) 45°,d) any of the mentioned,a,"Explanation: In reluctance motor, direct axis is horizontal axis and quadrature axis is at 90° to the direct axis."
"2. Space angle, _r is measured between stator d-axis and _____",a) quadrature axis,b) direct d-axis,c) long rotor axis,d) none of the mentioned,c,Explanation: Space angle is measured between stator direct axis and long rotor axis.
"3. The reluctance offered to the stator flux by two very large air gaps in series with high permeability iron, in reluctance machine is maximum, when the space angle _r = ______",a) 0°,b) 45°,c) 90°,d) 180°,c,"Explanation: Only when _r = 90°, the long rotor axis is perpendicular to the stator d-axis, and thus reluctance is maximum."
"4. The reluctance offered to the stator flux by two small air gaps in series with high permeability iron, in reluctance machine is minimum, when the space angle _r = ______",a) 0°,b) 45°,c) 90°,d) 270°,a,"Explanation: Only when _r= 0°, the long rotor axis is coincident with the stator d-axis, and thus reluctance is minimum."
5. The variation of reluctance Rl with space angle _r depends on the shape of __________,a) stator poles,b) rotor poles,c) stator or rotor poles,d) both stator and rotor poles,d,"Explanation: Also, the variation is assumed to be a function of space angle _r."
6. Reluctance motor can produce torque at ________,a) any speed less than synchronous speed,b) synchronous speed only,c) any speed greater than synchronous speed,d) any of the mentioned,b,"Explanation: Te(av)=-1/4 _max2(Rlq – Rld)(1/2 sin_(-2_)), w= synchronous speedif wr≠w then Te(av)=0 ,and  if wr=w then Te(av)≠0, as the last term in the equation 1/2 sin_(-2_) does not vary with time, and  hence average torque is not equal to zero."
"7. For a reluctance motor , the maximum average torque occurs when _= __________",a) 45°,b) 90°,c) 0°,d) 180°,a,"Explanation: The equation for average torque is Te(av)=1/8 _max2(Rlq – Rld)sin_(2_), and it is maximum when _=45°."
"8. For a given reluctance motor, Rld and Rlq are ________",a) constant,b) varying,c) zero,d) any of the mentioned,a,"Explanation: Rld and Rlq are constant for a given motor, as they depend on the geometry of the magnetic circuit."
9. The single phase reluctance machine acts as a generator when angle _ is _______,a) positive,b) negative,c) zero,d) any of the mentioned,b,"Explanation: If _ is positive, then the machine acts as a motor and if _ is negative, the machine acts as a generator."
10. Single phase reluctance motors are extensively used in ________,a) grinder applications,b) driving electric clocks and other timing devices,c) welding applications,d) lifts/ elevators,b,"Explanation: The single phase reluctance motors operate at constant synchronous speed, in case the supply frequency remains constant, and hence timing devices mostly use these motors."
12. Which of the following are applications of singly excited magnetic systems ____________,"a) electromagnets, relays",b) moving-iron instruments,c) reluctance motors,d) any of the mentioned,d,Explanation: All of the applications mentioned above needs singly excited magnetic systems.
1. Which of the following are examples of doubly-excited magnetic systems?,a) Synchronous Machines,b) Loudspeakers and Tachometers,c) D.C Shunt Machines,d) Any of the mentioned,d,Explanation: All of the above applications require two independent sources of excitation.
2. Most of the electromagnetic energy conversion devices belong to __________,a) singly excited magnetic systems,b) doubly excited magnetic systems,c) multiply excited magnetic systems,d) both doubly excited magnetic systems and multiply excited magnetic systems,d,"Explanation: Widely used motor/generators such as synchronous and induction machines belong to doubly excited systems, and many other practical applications require multiply excited magnetic systems."
"3. In a doubly excited magnetic system with salient pole type stator and rotor, if the rotor is not allowed to move, then the equation for magnetic field stored energy in establishing the currents from zero to is and ir is __________",a) Wfld=1/2 is2Ls+1/2 ir2Lr,b) Wfld=1/2 is2Ls+Mrs is ir,c) Wfld=1/2 is2Ls+1/2 ir2Lr+Mrs is ir,d) Wfld=1/2 ir2Lr+Mrs is ir,c,"Explanation: As the rotor is not allowed to move, dWmech=0, thus dWelec=0+dWfld=isd_s+ird_r, if in this equation, we introduce the self and mutual inductance terms, (_s=Lsis) and integrate the resulting equation from 0 to is, 0 to ir and 0 to iris, the respective terms, finally we get  Wfld=1/2 is2Ls+1/2 ir2Lr+Mrs is ir "
"5.In a doubly excited magnetic systems, the magnetic torques and forces act in such a direction as to tend to",a) decrease the field energy at constant currents,b) decrease the field co-energy at constant currents,c) increase the field energy at constant currents,d) none of the mentioned,c,"Explanation: Te= ∂Wfld(is,ir,_r)/∂_r = ∂Wfld1(is,ir,_r)/∂_rfe= ∂Wfld(is,ir,x)/∂x = ∂Wfld1(is,ir,x)/∂x "
"6. In a doubly excited magnetic system of salient pole type stator and rotor, the reluctance torque is present only when _____________",a) both stator and rotor currents are acting,b) stator current is acting alone,c) rotor current is acting alone,d) any of the stator or rotor currents acting alone,d,"Explanation: Equation for magnetic torque is Te=1/2is2dLs/d_r+1/2ir2dLr/d_r+isirdMsr/d_r , if ir=0, Te=1/2is2dLs/d_r and if is=0, then Te= 1/2ir2dLr/d_r, and these equations for torque are called reluctance torques. "
7. Which component of torque in the following equation is called the electromagnetic torque of electromagnetic energy conversion device?,Te=1/2is2dLs/d_r+1/2ir2dLr/d_r+isirdMsr/d_r,a) 1/2is2dLs/d_r,b) 1/2ir2dLr/d_r,c) isirdMsr/d_r,c,Explanation: The torque developed by the interaction of stator and rotor magnetic fields is the electromagnetic torque or interaction torque.
8. Which components of torque in the following equation are called the reluctance torque terms?,Te=1/2is2dLs/d_r+1/2ir2dLr/d_r+isirdMsr/d_r,a) 1/2is2dLs/d_r and isirdMsr/d_r,b) 1/2is2dLs/d_r and 1/2ir2dLr/d_r,c) 1/2ir2dLr/d_r and isirdMsr/d_r,b,Explanation: Because the change of reluctance (Rls or Rlr) are responsible for the production of these torques.
"9. Which of the following statements are true about electromagnetic torques and reluctance torques:(i) electromagnetic torque can exist only if both windings carry current(ii) reluctance torque depend on the direction of current in stator or rotor windings(iii) reluctance torque doesn’t depend on the direction of current in stator or rotor windings(iv) electromagnetic torque depend on the direction of currents is and ir(v) electromagnetic torque doesn’t depend on the direction of currents is and ir","a)(i),(ii),(iii)","b)(ii),(iii),(v)","c)(i),(iii),(iv)","d)(ii),(iii),(iv)",c,"Explanation: Reluctance torque:Explanation: 1/2is2dLs/d_r and 1/2ir2dLr/d_rPositive or negative value of current doesn’t affect the torque direction. The interaction/electromagnetic torque = isirdMsr/d_r, here the direction of is and ir changes the torque."
10. Singly and doubly excited magnetic systems applications are respectively:,a) loud speakers and tachometers,b) synchronous motors and moving iron instruments,c) DC shunt machines and solenoids,d) reluctance motors and synchronous motors,d,"Explanation: Reluctance motors can work on single excitation, and synchronous motors require double excitation."
11. Electromagnetic torque in rotating electrical machinery is present when ________,a) stator winding alone carries current,b) rotor winding alone carries current,c) air gap is uniform,d) both stator and rotor windings carry current,d,"Explanation: Electromagnetic torque = isirdMsr/d_r and if either is or ir =0, then Te=0."
12. All practical electromechanical energy conversion devices make use of the magnetic field rather than the electric field as the coupling medium.This is because,a) electric field systems present insulation difficulties,"b) electric field systems have more dielectric loss than the magnetic loss, for the same power rating of the machine","c) in electric field systems, for normal electric field strength, the stored energy density is high","d) in magnetic field systems, for normal magnetic flux density, the stored energy density is high",d,"Explanation: As the energy storing capacity of the magnetic field is higher, magnetic field as coupling medium is most common in electromechanical energy conversion devices."
"1. Consider a single phase synchronous machine of cylindrical rotor type. A single phase supply is given to the stator winding and a voltmeter is connected across rotor winding. For what value of _r, the voltmeter reads maximum?",a) 90°,b) 0°,c) 45°,d) 30°,b,"Explanation: When _r=0, the flux linkages with the rotor are maximum, and this is indicated by a maximum voltmeter reading. "
"2. Consider a single phase synchronous machine of cylindrical rotor type. A single phase supply is given to the stator winding, and a voltmeter is connected across rotor winding. For what value of _r the voltmeter reads a zero?",a) 0°,b) 30°,c) 45°,d) 90°,d,"Explanation: When _r=90°, the voltmeter reading is zero, because the stator winding axis is perpendicular to the rotor winding axis, and the mutual inductance Msr is zero."
3. Which of the following equation best represents the mutual inductance between stator and rotor in a single phase cylindrical rotor synchronous machine?,a) Msr=0,b) Msr=Mmax,c) Msr=Mmaxcos_r,d) Msr=Mmaxsin_r,c,"Explanation: In a single phase cylindrical rotor synchronous machine, the Msr is maximum, when _r=0, and is zero when _r=90° and cosine function represents it."
"4. In a single phase cylindrical rotor synchronous machine, the torque Te tends to ____________ the space angle _r.",a) reduce,b) increase,c) maintain constant,d) all of the mentioned,a,"Explanation: Wfld(is,ir,_r)=1/2 is2Ls+1/2 ir2Lr+ isirMmaxcos_rTorque, Te=∂Wfld(is,ir,_r)/∂_r= -isirMmaxsin_rNegative sign indicates that the torque Te tends to reduce angle _r."
5. The following torque expression: Te=-isirMmaxsin_r is applicable in a single phase cylindrical rotor synchronous machine when the rotor is __________,a) revolving,b) stationary,c) any of the mentioned,d) none of the mentioned,c,Explanation: The torque expression is applicable whether the rotor is revolving or stationary.
"6. In a two phase cylindrical rotor synchronous machine, the self inductances L_, L_ for phases _,_ respectively are __________",a) constant and equal,b) constant and unequal,c) varying and equal,d) varying and unequal,a,"Explanation: Constant and equal, as the reluctance offered to the fluxes produced by phase _ and _ winding doesn’t vary with rotor movement."
"7. In a two phase cylindrical rotor synchronous machine, the mutual inductance M__ between _ phase and _ phase winding is __________",a) Mmax,b) 0,c) Mmin,d) any of the mentioned,b,"Explanation: Since the axes of phase _ and phase _ windings are normal to each other and air gap is uniform, the mutual inductance M__ between _,_ winding is zero."
"8. In a two phase cylindrical rotor synchronous machine, torque Te is _____________",a) constant at some instant of time,b) changing at every instant of time,c) constant at every instant of time,d) changing at some instant of time,c,"Explanation:  Te= IfImMmaxsin_We can observe that it remains constant at every instant of time."
9. Which of the following equation represents the reluctance torque of a salient pole synchronous machine?,a) Te(av)= 1/4 Im2(Ld-Lq)sin2_,b) Te(av)= 2 Im2(Ld-Lq)sin_cos_,c) Te(av)= 1/8 Im2(Ld-Lq),d) Te(av)= 1/8 Im2(Ld-Lq)sin2_,d,"Explanation: Te(av)= 1/8 Im2(Ld-Lq)sin2_+1/2 IfImMmaxsin_If field current If is reduced to zero, the reluctance torque  Te(av)= 1/8 Im2(Ld-Lq)sin2_."
"10. Which component of torque equation, Te(av)= 1/8 Im2(Ld-Lq)sin2_+1/2 IfImMmaxsin_ represents the electromagnetic/interaction torque in single phase salient pole synchronous machine?",a) 1/2 IfImMmaxsin_,b) 1/8 Im2(Ld-Lq)sin2_,c) 1/8 Im2(Ld-Lq)sin2_+ 1/2 IfImMmaxsin_,d) none of the mentioned,a,Explanation: The torque developed by the interaction of both stator and rotor magnetic fields is the electromagnetic/interaction torque.
"11. An electromechanical energy conversion device has cylindrical stator but salient pole rotor. If _ is the angle between stator field and rotor field, the average torque developed is proportional to (A and B are constants) __________",a) Asin_,b) Asin2_,c) Asin_+Bsin2_,d) _,c,Explanation: Te(av)= 1/8 Im2(Ld-Lq)sin2_+1/2 IfImMmaxsin_ = Asin_+Bsin2_. 
"12. An electromechanical energy conversion device has cylindrical stator but salient pole rotor. Rotor is not excited. If _ is the angle between stator field and rotor long axis, then average torque developed is proportional to (A and B are constants)",a) Asin_,b) Asin2_,c) Asin_ + Bsin2_,d) zero,b,"Explanation: We know, Te= 1/8 Im2(Ld-Lq)sin2_+1/2 IfImMmaxsin_, rotor is not excited implies If=0, and thus Te= 1/8 Im2(Ld-Lq)sin2_ = Asin2_ "
"13. The self and mutual inductances of a doubly excited magnetic system are Ls=0.6+0.20cos2_r H and Lr=0.75+0.30cos2_r H and Msr=0.8cos_r H. For a stationary rotor at an angular position of _r=60°,what is the magnitude of torque when the currents is=20A DC and ir=10A DC?",a) -233.88N-m,b) +233.88N-m,c) -467.76N-m,d) +467.76N-m,a,"Explanation: For _r=60°; Ls, Lr, Msr and their derivatives with respect to _r have the following values:Ls=0.50H, Lr=0.60H, Msr=0.40H, dLs/d_r=-0.3464, dLr/d_r=-0.52, dMsr/d_r=-0.693Substituting the numerical values in Te= 1/2is2dLs/d_r+1/2ir2dLr/d_r+isrdMsr/d_r= -233.88N-m.  "
"1. A parallel plate capacitor has a capacitance of 10_F. If the linear dimensions of the plates are doubled and distance between them is also doubled, the new value of capacitance would be __________",a) 10_F,b) 20_F,c) 5_F,d) 40_F,b,"Explanation: C1= 10_F = _0A1/x1C2=  _0A2/x2 , A2=4A1(as the linear dimensions are doubled, area increases by 4 times) and x2=2x1_ C2= _04A1/2x1 = 2_10_F =20_F "
"4. The area of two parallel plates is doubled and the distance between these plates is also doubled. The capacitor voltage is kept constant. Under these conditions, force between the plates of this capacitor __________",a) decreases,b) increases,c) reduce to half,d) gets doubled,c,"Explanation: A2=2A1, x2=2x1, v2=v1, fe2=1/2v2dC(x)/dx2, C2=_0A2/x2 _ dC2/dx2= -_0A2/x22dC2/dx2= -2_0A1/4x12 = -_0A1/2x12 _ f&e2= -1/2v12_0A1/2x12= -1/2(fe1)_ force reduces to half."
"5. A parallel plate capacitor has an electrode area of 1000 mm2, with a spacing of 0.1 mm between the electrodes. The dielectric between the plates is air with a permittivity of 8.85_10-12 F/m. The charge on the capacitor is 100 v. The stored energy in the capacitor is ____________",a) 44.3 J,b) 444.3 nJ,c) 88.6 nJ,d) 44.3 nJ,d,"Explanation: Wfld = 1/2 q2/C(x)C(x) = _0A/x = 8.85_10-12_100_(10-3)2/0.1_10-3 = 8.85_10-12 FWfld = 1/2_Cv = 1/2_1002_8.85_10-12 = 44.3nJ "
"7. The force produced by electric field in a singly excited energy conversion device, using electric field as coupling medium can be obtained by ___________",a) use of field energy function only,b) use of coenergy function only,c) any of the mentioned,d) none of the mentioned,c,"Explanation: fe = -∂Wfld(q,x)/∂xfe = -∂Wfld1(q,x)/∂x "
"8. Charge and voltage associated with electric field are analogous, respectively to __________ and ___________ in magnetic field.",a) flux linkages and current,b) flux density and current,c) flux linkages and voltage,d) MMF and current,a,"Explanation: In magnetic field, the basic terms are flux linkages and current, which are responsible for energy conversion and in electric field, charge and voltage are basically responsible for energy conversion.dWelec = _i, for magnetic fielddWelec = vidt=vdq, for electric field. "
"9. Two parallel plates, each of area A = 1m2 are separated by a distance g. The electric field intensity between the plates is 3_106 v/m. What is the force between the two plates?",a) 1/2π_103 N,b) 1/8π_103 N,c) 8π_103 N,d) 0 N,b,"Explanation: When electric field is applied, the plates move towards each other because of force of attraction by a distance x _ C= _0A/(g-x)Wfld(q,x) = 1/2 q2/C = 1/2 q2(g-x)/A_0fe= -∂Wfld(q,x)/∂x= 1/2q2x/A_0We know, q=DA=_0EA and _0 = 10-9/36_fe= 1/2 E2_0A= 1/2_(3_106)2_10-9/36__1 = 1/8π_103 N "
"1. The magnitude of electromagnetic or interaction torque, in all rotating machines, is given by ____________",a) Te _(stator field strength)sin_,b) Te _(rotor field strength)sin_,c) Te _(stator field strength)(rotor field strength)sin_,d) Te _ sin_,c,"Explanation: The tendency of two fields (stator field and rotor field), to align themselves in the same direction, is called interaction torque, and it also depends on the torque angle & delta;."
"2. In a rotating electrical machine with 2 poles on the stator and 4 poles on the rotor, spaced equally, the net electromagnetic torque developed is ____________",a) maximum,b) zero or no torque is developed,c) minimum,d) none of the mentioned,b,"Explanation: In a machine with 2 stator poles and 4 rotor poles spaced equally, the force of attraction will be cancelled due to the force of repulsion, and hence the net electromagnetic torque will be zero."
"3. For the development of electromagnetic torque in a rotating electrical machine, the number of rotor poles must be ____________",a) greater than the stator poles,b) less than the stator poles,c) equal to the stator poles,d) either greater or lesser than the stator poles,c,"Explanation: If the rotor poles are not equal to the stator poles, the net electromagnetic torque will be zero as the force of attraction will be cancelled by the force of repulsion."
4. Torque angle ‘_’ is the angle between ____________,a) rotor field axis and resultant field axis,b) stator field axis and rotor field axis,c) stator field axis and mutual field axis,d) stator field axis and resultant field axis,b,Explanation: The angle between the stator field axis and rotor field axis is called as torque angle.
5. The interaction torque in a rotating electrical machine depends on which of the following components?,(i) sin_,(ii) cos_,(iii) torque angle _,(iv) stator field strength,a,Explanation: Interaction torque Te_(stator field strength)(rotor field stregth)sin_
6. The basic torque and EMF expression of rotating electrical machines are ____________,a) applicable to DC machines only,b) applicable to AC machines only,c) applicable to both AC and DC machines,d) none of the mentioned,c,Explanation: Basic torque and EMF expressions are same for both AC and DC machines as the fundamental principles underlying the operation of AC and DC machines are same. 
"7. The final forms of the expression for generated EMF and torque,for AC and DC machines differ, because ____________",a) the fundamental principles underlying their operation are same,b) the fundamental principles underlying their operation are different,c) their construction details are same,d) their construction details are different,d,"Explanation: Though AC and DC machine have same operating fundamental principles, their construction details differ."
"8. The voltage equation for the electrical system, in an electromechanical energy conversion device is as follows:",vt=ir+Ldi/dt+i(dL/d_r)_r = (i)+(ii)+(iii),What does the (ii) and (iii) terms represent respectively?,a) transformer voltage term and speed/rotational voltage term,b) speed/rotational voltage term and transformer voltage term,a,"Explanation: (ii) term = Ldi/dt is known as transformer voltage because it involves the time derivative of current.(iii) term = i(dL/d_r)_r is the speed/rotational voltage term because of the presence of speed _r in it. "
"9. For an inductor made from magnetic core, with two air gaps of equal length g, exciting coil with 1000 turns, A=5cm_5cm and g=1cm, what will be the coil inductance?",a) 0.314H,b) 0.157H,c) 0.078H,d) 0.628H,b,Explanation: Reluctance Rl=2g/_0A and coil Inductance L=N2/Rl = N2_0A/2g =(1000)2(4π_10-7)(0.05)2/(2_0.01) = 0.15708H. 
"1. For a P-pole machine, the relation between electrical and mechanical degrees is given by _____________",a) _elec = 2/P _mech,b) _elec = 4/P _mech,c) _mech = P/2 _elec,d) _elec = P/2 _mech,d,"Explanation: For a P-pole machine, P/2 cycles of EMF will be generated in one revolution, and thus _elec = P/2 _mech. "
"2. What is the relation between ‘_’, angular speed in electrical radians per second and ‘_m‘, angular speed in mechanical radians per second, for a P-pole machine?",a) _ = 2/P_m,b) _ = 4/P_m,c) _m = P/2_,d) _ = P/2_m,d,Explanation: We know _elec = P/2_mech _ d/dt(_elec) = P/2d/dt(_mech) _ _ = P/2_m 
3. A pole pitch in electrical machine _____________,a) = 180° electrical,b) = 180° mechanical,c) > 180° electrical,d) < 180° electrical,a,"Explanation: Pole pitch is always expressed in electrical degrees, rather than in mechanical degrees.pole pitch = 180 electrical degrees or π electrical radians "
4. The part of the coil in which EMF is generated is known as _____________,a) end connection,b) coil sides,c) coil span,d) none of the mentioned,b,"Explanation: The EMF is generated in the active lengths only, and these active lengths are called the coil-sides of a coil. "
5. A coil consists of _____________,a) two conductors,b) two coil sides,c) two turns,d) four turns,b,Explanation: One coil is made up of two coil sides. 
6. One turn consists of _____________,a) two coil sides,b) two conductors,c) four conductors,d) four coil sides,b,"Explanation: One turn consists of two conductors, and one coil is made up of two coil-sides. "
"7. In a full pitch coil, the two coil sides are how many electrical space degrees apart?",a) 180 electrical degrees,b) 90 electrical degrees,c) 45 electrical degrees,d) none of the mentioned,a,"Explanation: A coil, with two coil-sides 180 electrical space degrees apart (or one pole-pitch apart), is called a full pitch coil. "
8. A chording angle _ is defined as the angle by which coil span departs from __________,a) 90° electrical space degrees,b) 180° electrical space degrees,c) 360° electrical space degrees,d) any of the mentioned,b,"Explanation: If chording angle is _°, chorded coil has a coil span = 180°-_."
"9. If Bp= peak value of sinusoidal flux density wave, L = armature core length, D = armature diameter, P = number of poles, then","(i) flux per pole, _=2/PBpLD","(ii) Average flux density, Bav=2/πBp",(iii) _=4/PBpLD,(iv) Bav=3/πBp,a,"Explanation: Total flux per pole= 4/PBprLwe know, r=D/2 _ _=2/PBpLD and Bav=2/πBp.As _ = (Average value of constant amplitude flux density wave under one pole)_(Area pertaining to one pole of the flux density wave), _ = (Bav)(2πrL/P)and average value of the positive or negative half cycle of a sine wave = 2/π(peak value of sine wave). "
"10. In a 4 pole machine, what is the flux per pole produced, if the armature length is l and radius is r and Bp is peak value of sinusoidal flux?",a) 4Bplr,b) 2Bplr,c) Bplr,d) Bplr/2,c,"Explanation: Total flux per pole=4/PBplr, since P=4, _=Bplr. "
"11. The equation for flux per pole _=4/PBplr, is valid for _____________",a) for salient pole rotor only,b) for cylindrical pole rotor only,c) for both cylindrical and salient pole rotor,d) none of the mentioned,c,Explanation: It does not make any difference whether the field winding is on cylindrical pole structure or salient pole structure. 
"1. For a p-pole machine, which of the following statements are correct regarding the rotating field speed?",a) The rotating field speed is 1/(p/2) revolutions in one cycle,b) f/(p/2) revolutions in f cycles,c) f/(p/2) revolutions in one second,d) Any of the mentioned,d,Explanation: f/(p/2) revolutions in one second is also correct because f cycles are completed in one second. ns(rotating field speed in revolutions per second) = 2f/p or Ns = 120f/p r.p.m. 
2. The speed at which rotating magnetic field revolves is called,a) Induction speed,b) Synchronous speed,c) Relative speed,d) Rotating speed,b,Explanation: Rotating field speed (Ns) = 120f/(p r.p.m) = synchronous speed. 
3. What is the amplitude of rotating MMF produced as a result of m-phase currents flowing in m-phase windings?,a) (2/m)Fm,b) mFm,c) (m/2)Fm,d) Fm,c,"Explanation: In general m phase current flowing in m phase winding results in rotating MMF wave of constant amplitude, equal to m/(2Fm).  "
4. The peak of rotating MMF wave (FR) is directed along which of the following axis?,a) The axis of that phase which carries the maximum current at that instant,b) The axis of that phase which carries half of the maximum current at that instant,c) The axis of that phase which carries minimum current at that instant,d) Any of the mentioned,a,"Explanation: The resultant MMF FR = 3/(2Fm) is directed along the axis of that phase, which carries the maximum current at that instant. "
"5. If the phase sequence of supply currents are reversed, then the direction of rotation of the resultant MMF wave will",a) Be reversed,b) Remains unchanged,c) Cannot be determined,d) None of the mentioned,a,Explanation: A reversal of the phase sequence of supply currents will reverse the direction of rotation of the resultant MMF wave. 
6. Which of the following statements are correct regarding individual phase MMF in rotating machines ?,a) It is a rotating MMF wave,b) It is not a rotating MMF wave and its amplitude doesn’t alternate along its own phase axis,c) It is not a rotating MMF wave but its amplitude merely pulsates,d) None of the mentioned,c,"Explanation: It should be remembered that individual phase MMF is not a rotating MMF wave, its amplitude merely pulsates or alternates along its own phase axis. "
7. The effect of poly phase currents in poly phase winding can be compared to _______________,a) Mechanical rotation of permanent magnets at synchronous speed,b) Mechanical rotation of DC excited field poles at synchronous speed,"c) Mechanical rotation of either permanent magnets or DC excited field poles, at synchronous speed",d) None of the mentioned,c,Explanation: The speed at which rotating magnetic field revolves is called the synchronous speed and this effect is equivalent to mechanical rotation of permanent magnets or DC excited field poles. 
8. The magnitude of rotating flux _____________ at all instants of time.,a) Changes,b) Remains constant,c) Pulsates,d) Any of the mentioned,b,Explanation: FR = 3/(2Fm) (for a 3 phase machine). A constant amplitude rotating MMF or rotating field is produced in the air gap of a three phase machine. 
9. The amplitude of rotating MMF wave is proportional to,a) Nph and P,b) I and P,c) Nph and I,"d) Nph, I and P",c,"Explanation: FR = 3/(2Fm) = 3/(2 4√2/(_Kw NphI/P)where  Nph = series turns per phase and I = RMS current. "
