Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question50,"15. 24 grams of CH4 is passed in the process in 3 minutes, what is the molar flow rate?","a)	0.1 mole/min","b)	0.3 mole/min","c)	0.5 mole/min","d)	0.7 mole/min",c,Explanation: Flow rate of fluid = (24/16)/3 = 0.5 mole/min.
Question51,1. What is the mole fraction of sodium with moles n in a solution with moles of solvent N?,"a)	N/n","b)	n/N","c)	n/(n + N)","d)	N/(n + N)",c,"Explanation: Mole fraction is the ratio of moles of solvent and the total number of moles of solution, => mole fraction = n/(n + N)."
Question52,2. What is the unit of mole fraction?,"a)	Kg/m3","b)	N/m3","c)	m-2","d)	None of the mentioned",d,"Explanation: Since the mole fraction is ratio of the moles of solute and the moles of solution, it has no unit."
Question53,"3. If the mole fraction of 4.5 moles of solute is 0.5, what is the number of moles of solvent?","a)	9","b)	4.5","c)	1.5","d)	3",b,"Explanation: 0.5 = 4.5/(4.5 + n), => n = 4.5."
Question54,4. What is the mass fraction of 4 moles of Sodium in 8 moles of Hydrogen chloride?,"a)	0.24","b)	0.48","c)	0.56","d)	0.72",a,"Explanation: Mass of sodium = 4*23 = 92 g, mass of hydrogen chloride = 8*36.5 = 292 g, => mass fraction of sodium = 92/(92 + 292) = 0.24."
Question55,"5. If the mole fraction of sodium is 0.25 in 9 moles of liquid carbon dioxide, what is the mass fraction of sodium?","a)	0.10","b)	0.15","c)	0.20","d)	0.25",b,"Explanation: 0.25 = n/(n + 9), => n = 3, => mass of sodium = 3*23/(3*23 + 9*44) = 0.15."
Question56,6. A solution has 25% w/w solution of Sodium Chloride in 10 grams of water what is the mole fraction of Sodium Chloride?,"a)	0.05","b)	0.06","c)	0.07","d)	0.08",c,"Explanation: Mass of sodium chloride = 10*25/100 = 2.5 grams, => moles of sodium chloride = 2.5/58.5 = 0.0427, moles of water = 10/18 = 0.555, => mole fraction = 0.0427/(0.0427 + 0.555) = 0.07."
Question57,"7. If the mole fraction of SO2 in H2SO4 is 0.2, what is the ratio of mass of sulfur and oxygen in the solution?","a)	0.166","b)	6","c)	1.8","d)	0.555",d,"Explanation: Let moles of SO2 and H2SO4 be x and y respectively, => x/(x + y) = 0.2, => y/x = 4, => ratio of mass of sulfur and oxygen in solution = (x*32 + y*32)/ (x*2(16) + y*4(16)) = 0.555."
Question58,"8. A mixture of gases SO2, O2 and 4 g of N2 and total mass of mixture is 10 g, what is the sum of mole fraction of SO2 and O2?","a)	0.25","b)	0.5","c)	0.75","d)	1",c,"Explanation: Sum of the mole fraction of all gases = 1, => sum of mole fraction of SO2 and O2 = 1 Ð 4/10 = 0.75."
Question59,"9. A neutral gas that is made of nitrogen and hydrogen only contains 7 g of nitrogen is in a mixture of with total mass 17 g, what is the mass fraction of the gas?","a)	0.5","b)	0.25","c)	0.45","d)	0.8",a,"Explanation: The neutral gas that is made of nitrogen and hydrogen is NH3, => moles of nitrogen = moles of NH3 = 7/14 = 0.5, => mass of hydrogen = 1.5*1 = 1.5 g => total mass of NH3 = 7 + 1.5 = 8.5 g, => mass fraction = 8.5/17 = 0.5."
Question60,"10. A mixture contains 23 g of ethanol and 36 g of water, some acetic acid is added to the mixture and its mole fraction becomes 0.5, how much acetic acid was added?","a)	25 g","b)	75 g","c)	100 g","d)	150 g",d,"Explanation: Let m grams of acetic acid was added, => 0.5 = (m/60)/{(23/46) + (36/18) + (m/60)}, => m = 150 g."
Question61,"11. A mixture contains 9 gram each of H2O and NaCl, what is the mole fraction of NaCl?","a)	0.15","b)	0.23","c)	0.45","d)	0.64",b,Explanation: Mole fraction of NaCl = (9/58.5)/[9/58.5 + 9/18] = 0.23.
Question62,"12. A mixture contains 10 grams each of CH4, H2O, and SO2, what is the mole fraction of CH4?","a)	0.14","b)	0.31","c)	0.46","d)	0.67",c,Explanation: Mole fraction of CH4 = (10/16)/[(10/16) + (10/18) + (10/64)] = 0.46.
Question63,"13. A mixture contains 80% of HCl and 20% H2O by weight, what is the mole fraction of HCl?","a)	0.15","b)	0.29","c)	0.45","d)	0.66",d,Explanation: Mole fraction of HCl = (80/36.5)/[(80/36.5) + (20/18)] = 0.66.
Question64,"14. A mixture contains 80% of NaOH and 20% H2O by weight, what is the mole fraction of NaOH?","a)	0.24","b)	0.42","c)	0.64","d)	0.78",c,Explanation: Mole fraction of HCl = (80/40)[(80/40) + (20/18)] = 0.64.
Question65,"15. A compound contains 40% of Sulphur and 60% of Oxygen, what is the empirical formula of the compound?","a)	SO2","b)	SO3","c)	SO4","d)	None of the mentioned",b,"Explanation: Mole fraction of Sulphur = (40/32)[(40/32) + (60/16)] = 0.25, => Mole fraction of oxygen = 0.75, => Empirical formula of compound is SO3."
Question66,"1. What is the molecular weight of a mixture that contains 25% CO2, 40% O2 and 35% N2?","a)	11.2 g","b)	22.4 g","c)	33.6 g","d)	44.8 g",c,Explanation: Molecular weight = (25*44 + 40*32 + 35*28)/100 = 33.6 g.
Question67,"2. What is the weight of 10 moles of a mixture with composition 15% O2, 25% SO2, 30% COCl2, 25% SO3 and 5% N2?","a)	124","b)	345","c)	507","d)	719",d,"Explanation: Molecular weight of mixture = (15*32 + 25*64 + 30*99 + 25*80 + 5*28)/100 = 71.9, => Weight of mixture = 71.9*10 = 719."
Question68,"3. If a compound contains 48% of Carbon, 48% of oxygen and 8% of hydrogen by weight, then what is the possible molecular formula of the compound?","a)	C2H4O","b)	CH4O3","c)	C4H4O3","d)	C4H8O3",d,"Explanation: Ratio of number of atoms, Carbon: Hydrogen: Oxygen = 48/12: 8/1: 48/16 = 4:8:3."
Question69,"4. A compound contain 12% of carbon, 16% of oxygen, 28% of nitrogen, 4% of hydrogen and 40% calcium by weight, then what can be the possible formula of the compound?","a)	C2H3N2Ca(OH)","b)	CH4N4Ca2(OH)","c)	CH3N2Ca2(OH)","d)	None of the mentioned",c,"Explanation: Ration of number of atoms, carbon: hydrogen: oxygen: nitrogen: calcium = 12/12: 4/1: 16/16: 28/14: 40/20 = 1:4:1:2:2."
Question70,5. What is the value of x in C2H8(OH)x if the percentage by weight of hydrogen is 12%?,"a)	1","b)	2","c)	3","d)	4",d,"Explanation: Let the total weight of the compound be 100 g, => weight of hydrogen in the compound is 12 g, => x = 12 Ð 8 = 4."
Question71,"6. If hydrogen is 14% by weight in CH3(OH)x(NH3)y, then what is the possible value of x*y?","a)	6","b)	12","c)	18","d)	24",a,"Explanation: Let the weight of compound be 100 g, => weight of hydrogen = 14 g, => 3y + x + 3 = 14 => 3y + x = 11, => and 12 + 14 + 16x + 14y = 100, => 8x + 7y = 37, solving both equations we get x = 2 and y = 3, => x*y = 6."
Question72,"7. A liquid mixture of O2, CH4 and CO has the composition 32% O2, 16% CH4 and 52% CO, then what is the mole fraction of CH4?","a)	0.1","b)	0.2","c)	0.25","d)	0.5",b,"Explanation: Let the total weight of the mixture be 100 g, => weight of each component are 32 g, 16 g and 52 g respectively, => moles of O2 = 32/16 = 2, moles of CH4 = 16/16 = 1, moles of CO = 52/26 = 2 g, => mole fraction of CH4 = 1/5 = 0.2."
Question73,"8. A gaseous mixture is composed of 20% CO2, 40% O2 and 40% N2. What is the mass fraction of N2?","a)	0.307","b)	0.416","c)	0.529","d)	0.784",a,"Explanation: Let the total moles of the mixture be 100, => mass of CO2 = 20*44 = 880 g, mass of ÂO2 = 40*16 = 640 g, mass of N2 = 40*14 = 560 g, => mass fraction of N2 = 560/(880 + 640 + 560) = 0.307."
Question74,"9. A liquid mixture composed of 20% CH4, 30% C2H4, 35% C2H2, and 15% C2H2O. What is the average molecular weight of the mixture?","a)	20","b)	25","c)	6.75","d)	9.25",b,"Explanation: Since it is a liquid mixture so the percentages are by weight, => average molecular weight of mixture = (20 + 30 + 35 + 15)/4 =25."
Question75,"10. A gaseous mixture composed of 20% CH4, 30% C2H4, 35% C2H2, and 15% C2H2O. What is the average molecular weight of the mixture?","a)	20","b)	25","c)	6.75","d)	9.25",c,"Explanation: Since it is a gaseous mixture so the percentages are by mole, => average molecular weight of mixture = {(20/100)*16 + (30/100)*28 + (35/100)*26 + (15/100)*42}/4 = 6.75."
Question76,"11. The mole percent of H2 and N2 in a mixture is 50% each, what is the mass percentage of H2?","a)	12.5","b)	25","c)	50","d)	87.5",a,"Explanation: Let the moles be 50 each, => Mass of H2 = 100, Mass of N2 = 700, => Mass percentage of H2 = 100/(100 + 700)*100 = 12.5%."
Question77,"12. The mole percent of CO2 and H2O in a mixture is 40% and 60% respectively, what is the mass percent of CO2?","a)	24.1","b)	47.2","c)	61.9","d)	78.5",c,"Explanation: Let the moles be 40 and 60, => mass of CO2 = 40*44 = 1760, mass of H2O = 1080, => mass percent of CO2 = 61.9%."
Question78,"13. A mixture contains 20% CO2, 30% SO2 and 50% H2O, what is the mass percent of CO2?","a)	23","b)	45","c)	66","d)	87",a,"Explanation: Let the moles be 20, 30 and 50, => mass percent of CO2 = (20*44)/[20*44 + 30*64 + 50*18] = 23%."
Question79,"14. A mixture contains 20% NaCl, 30% CH4 and 50% H2O, what is the mass percent of NaCl?","a)	21","b)	34","c)	45","d)	68",b,Explanation: Mass percent of NaCl = 20*35.5/[20*35.5 + 30*16 + 50*18] = 34%.
Question80,"15. A mixture contains 10% CO, 40% CO2 and 50% H2O, what is the mass percent of CO2?","a)	9.5","b)	15.4","c)	39.5","d)	74.1",a,Explanation: Mass percent of CO2 = 10*28/[10*28 + 40*44 + 50*18] = 9.5%.
Question81,1. Which of the following is not the unit of concentration?,"a)	Mole/m3","b)	Molar","c)	N/m3","d)	ppm",c,"Explanation: Concentration is moles per unit volume or mass per unit volume, so N/m3 cannot be a unit of concentration."
Question82,2. What is the concentration of a 22 grams of carbon dioxide occupying 0.5 m3 volume?,"a)	1 mole/m3","b)	2 mole/m3","c)	11 mole/m3","d)	22 mole/m3",a,"Explanation: Moles of carbon dioxide = 22/44 = 0.5, => concentration = 0.5/0.5 = 1 mole/m3."
Question83,3. What is the concentration of 100 lbs. of solution occupying 25 m3 of volume?,"a)	1.8 Kg/m3","b)	2.7 Kg/m3","c)	4 Kg/m3","d)	8 Kg/m3",a,"Explanation: Mass of solution = 100*0.453 = 45.3 kg, => Concentration of solution = 45.3/25 = 1.8 kg/m3."
Question84,4. What is the molarity of a solution with a mass of solute 10 kg mass and 100 liter volume?,"a)	0.1 molar","b)	1 molar","c)	10 molar","d)	100 molar",a,Explanation: Molarity = 10/100 = 0.1 molar.
Question85,5. What is the concentration of a solution with 10 grams of calcium in 1000 m3 of water?,"a)	150 ppm","b)	250 ppm","c)	800 ppm","d)	1000 ppm",b,"Explanation: Moles of calcium = 10/40 =0.25, => concentration in ppm = (0.25/1000)*106 = 250 ppm."
Question86,6. How much Sodium is there in a solution with 10 Kg of solvent (Density = 5 Kg/m3) and concentration 4 molar?,"a)	23 grams","b)	92 grams","c)	184 grams","d)	276 grams",c,"Explanation: Volume of solvent = 10/5 = 2 m3, => moles of sodium = 4*2 = 8 moles, => mass of sodium = 8*23 = 184 grams."
Question87,"7. A 5 molar solution is 27.75% CaCl2 by mass, what is the density of the solution?","a)	1 g/cm3","b)	2 g/cm3","c)	3 g/cm3","d)	4 g/cm3",b,"Explanation: Let the mass of Solution be 100 grams, => moles of CaCl2 = 27.75/111 = 0.25, Density of solution = 5*(100/0.25) = 2000 kg/m3 = 2 g/cm3."
Question88,"8. A solution with density 1 g/cm3 has 98 grams of H2SO4 in 402 grams of water, what is the concentration of solution?","a)	1 molar","b)	2 molar","c)	3 molar","d)	4 molar",b,"Explanation: Moles of H2SO4 = 98/98 = 1, => concentration of solution = 1/(500/1) = 2*10-6 mole/cm3 = 2 molar."
Question89,"9. A solution with density 2 g/cm3, concentration 1 molar and weight 500 grams, then what is the mass of HNO3 in the solution?","a)	63 grams","b)	126 grams","c)	189 grams","d)	252 grams",d,"Explanation: Moles of HNO3 = 1/(500/2000) = 4, = > mass of HNO3 = 4*63 = 252 grams."
Question90,"10. What is the molarity of the mixture of two solution, first solution 4 M and 10 liter and second solution 2 M and 40 liter?","a)	1.2 M","b)	2.4 M","c)	4.8 M","d)	9.2 M",b,Explanation: Molarity of mixture = (M1V1 + M2V2)/(V1 + V2) = (4*10 + 2*40)/ (10 + 40) = 2.4 M.
Question91,11. What is the molar concentration of a solution with 40 gram of NaOH in 1 liter solution?,"a)	1 mole/liter","b)	2 mole/liter","c)	3 mole/liter","d)	4 mole/liter",a,Explanation: Molar concentration = (40/40)/1 = 1 mole/liter.
Question92,12. What is the molar concentration of a solution with 32 grams of CH4 in 1 liter solution?,"a)	1 mole/liter","b)	2 mole/liter","c)	3 mole/liter","d)	4 mole/liter",b,Explanation: Molar concentration = (32/16)/1 = 2 mole/liter.
Question93,13. What is the molar concentration of a solution with 44 grams of CO2 in 0.5 liter solution?,"a)	1 mole/liter","b)	2 mole/liter","c)	3 mole/liter","d)	4 mole/liter",b,Explanation: Molar concentration = (44/44)/0.5 = 2 mole/liter.
