Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 90,9. Number of diodes used in a full wave bridge rectifier is,a) 1,b) 2,c) 4,d) 6,c,Explanation: The model of bridge rectifier is same as weibridge. Like weinbridge needs 4 resistors bridge rectifier needs 4 diodes while center tap configuration requires only one.
Question 91,"10. In an bridge full wave rectifier, the input sine wave is 250sin100 _t. The output ripple frequency of rectifier will be",a) 50Hz,b) 200Hz,c) 100Hz,d) 25Hz,c,"Explanation: The equation of sine wave is in the form Em sin wt.Therefore, w = 100_ that is, frequency f = w/2_ = 50HzSince output of full wave bridge rectifier have double the frequency of input, output frequency is 100Hz."
Question 95,"1.	Which of the following models of semiconductor diode is the most widely used for the purpose of calculation?","a)	Approximate Equivalent Model","b)	Ideal Diode Model","c)	Piecewise Linear Model","d)	None of the mentioned",a,"Explanation: Approximate Equivalent model not only saves time and efforts but also provides results with considerable amount of accuracy."
Question 96,"2.	Statement-1: Piecewise linear model is generally not used for diode analysis.","	Statement-2: The value of Rav is negligible as compared to the load resistance.","	Which of the following holds true?","a)	Statement-1 is true, Statement-2 is true and Statement-2 is a proper explanation for Statement-1","b)	Statement-1 is true, Statement-2 is true and Statement-2 is not a proper explanation for Statement-1",a,"Explanation: Piecewise linear model involves a line with a slope equal to 1/Rav. As Rav is low, 1/ Rav is high and the slope becomes almost equal to infinity and hence, it approaches the equivalent circuit model and hence, piecewise linear model isnÍt generally used."
Question 97,8. Which of the following is not a necessary component in a clamper circuit?,a) Diode,b) Capacitor,c) Resistor,d) Independent DC Supply,d,"Explanation: Diode, Capacitor and Resistor are necessary to build a clamper circuit. An independent DC supply is required to bring an additional shift."
Question 98,"3.	Which of the following statements best describes the reason for not using diodes to implement logic gates?","a)	Diodes are expensive","b)	Diodes are unreliable and less efficient","c)	The diode circuits have limited range of operation","d)	None of the mentioned",c,"Explanation: The diode circuits are relatively less stable when compared to the transistor circuits, which are easy to tune in terms of stability and reliability."
Question 99,"10.	Which of the following equations is correct for a full wave rectified output?","a)	|Vdc| = 0.318 Vp","b)	|Vdc| = 0.636 Vp","c)	|Vdc| = 0.477 Vp","d)	None of the mentioned",b,"Explanation: The output dc level of a half wave rectified wave is equal to 0.318 Vp. But, for a fully rectified wave, it becomes equal to 0.636 of the peak value."
Question 100,"1.	Which of the following is not a valid form of a diode equivalent circuit?","a)	Piecewise Linear Model","b)	Ideal Diode Model","c)	Simplified Model","d)	Differential Model",d,Explanation: Differential model doesnÍt define any diode. It defines an Operational Amplifier. 
Question 101,"4.	AC resistance of a diode was found to be r1 and r2, when measured with two different values of diode current i.e. 10 mA and 25 mA respectively. Which of the following options hold true?","a)	r1 = r2","b)	r1 > r2","c)	r1 < r2","d)	CanÍt be determined.",b,Explanation: r1 > r2 as AC resistance is inversely proportional to the diode current. 
Question 102,"9.	The reverse saturation current for a Germanium diode at a temperature of 293 K is found to be 2 uA. What is the reverse saturation current Is at a temperature of 313 K?","a)	2 uA","b)	8 uA","c)	4 uA","d)	CanÍt be determined",b,Explanation: The reverse saturation current for a silicon diode doubles its value for every 10 K rise in temperature. Hence Is at 313 K=2 x 2 x 2 = 8 uA. 
Question 103,"11.	The threshold voltage of a diode at Antarctica and India were found to be V1 and V2 respectively. Which of the following relations between V1 and V2 hold good?","a)	V1 > V2","b)	V1 = V2","c)	V1 < V2","d)	CanÍt be determined",a,"Explanation: Temperature in India is greater than that in Antarctica. Hence, the reverse saturation current measured in India will be higher as compared to that measured in Antarctica. Now, as Is and VT are inversely related, V1 >V2. "
Question 104,"1.	Which of the following equipment may be used to check the condition of a diode?","a)	Digital Display Meter","b)	Ohmmeter","c)	Curve Tracer","d)	All of the mentioned",d,Explanation: All the methods may be used to test a diode for its proper functioning.
Question 105,"2.	What is the expected reading obtained on a Digital Display Meter with diode-checking function when a proper functioning silicon semiconductor diode is connected across its leads in the forward bias configuration?","a)	0.67 V","b)	0.3 V","c)	Open Loop Indication","d)	Varies with the diode",a,"Explanation: The diode checking function on the meter when used causes a current of 2 mA to flow through the diode and hence under forward bias, the voltage is determined to be 0.67 V."
Question 106,"3.	What is the expected reading obtained on a Digital Display Meter with diode-checking function when a proper functioning silicon semiconductor diode is connected across its leads in the reverse bias configuration?","a)	0.67 V","b)	0.3 V","c)	Open Loop Indication","d)	Varies with the diode",c,"Explanation: The diode checking function on the meter when used causes a current of 2 mA to flow through the diode and hence under reverse bias, the result obtained is the open loop indication."
Question 107,"4.	A diode on being checked by a DDM with diode checking function results in an open loop indication in both directions. Which of the following is the correct inference drawn from the given situation?","a)	Power failure to the DDM","b)	Diode is faulty","c)	Diode is proper","d)	None of the mentioned",b,"Explanation: A diode allows electrical conduction in just one direction. Hence, if an instrument shows open loop indication in both the directions, then the diode is faulty."
Question 108,"5.	A silicon semiconductor diode when subjected to ohmmeter testing gives low resistance in both the directions. Which of the following is the correct inference to be drawn?","a)	Diode is faulty","b)	Power failure to the Ohmmeter","c)	Diode is short-circuited","d)	CanÍt be determined",c,"Explanation: A proper diode gives a low resistance reading along one direction and high resistance reading along the other. Hence, if diode gives low resistance readings in both the directions, then the diode must be short-circuited. ItÍs noteworthy that a faulty diode gives a high resistance reading along both the paths."
Question 109,"6.	A silicon semiconductor diode when subjected to ohmmeter testing gives high resistance in both the directions. Which of the following is the correct inference to be drawn?","a)	Diode is faulty","b)	Power failure to the Ohmmeter","c)	Diode is short-circuited","d)	CanÍt be determined",a,"Explanation: A proper diode gives a low resistance reading along one direction and high resistance reading along the other. Hence, if diode gives high resistance readings in both the directions, then the diode must be faulty."
Question 110,"7.	How can the location of the Zener region be controlled in the diode characteristic curve?","a)	By changing the value of Iz","b)	By changing the doping concentration of the diode","c)	By changing the operating temperature","d)	CanÍt be changed",b,"Explanation: An increase in doping will lead to an increase in the concentration of impurities, which would further lead to a change in VZ and hence change in the Zener region."
Question 111,"8.	Which material is generally used for the manufacture of Zener diode?","a)	Silicon","b)	Germanium","c)	Mercury","d)	None of the mentioned",a,"Explanation: Because of its high heat and current handling capacity, Silicon is generally used for the manufacture of Zener diodes."
Question 112,"9.	Which of the following is not a part of the equivalent circuit of a Zener diode?","a)	Dynamic Resistance","b)	DC Battery","c)	Ideal diode","d)	None of the mentioned",c,Explanation: The equivalent circuit diagram of a Zener diode doesnÍt involve an ideal diode as it is used under reverse bias and an ideal diode doesnÍt conduct under reverse bias.
Question 113,"10.	At 298 K, the nominal Zener voltage is found to be equal to 10 V. Given that the value of Temperature coefficient is 0.072 (%/K), what is the nominal Zener Voltage at 398 K?","a)	9.46 V","b)	9.54 V","c)	0.54 V","d)	10.54 V",d,"Explanation: The change in VZ with temperature is calculated from the following equation:Change in VZ = TC.VZ(T1 _ T0))/1000Change in VZ = 0.54 VNow, as the value of T åis positive, new VZ = 10 + 0.54 V = 10.54 V"
Question 114,"11.	Which of the following materials is used to make LEDs?","a)	Silicon","b)	GaAsP","c)	Germanium","d)	All of the mentioned",b,"Explanation: In Silicon and Germanium, the major chunk of energy is given off as heat the hence the emitted light isnÍt significant. In Gallium Arsenide Phosphide (GaAsP), the number of photons are enough to create a visual source of light."
Question 115,"12.	Which of the following voltages may be considered as a safe and sufficient voltage for the operation of a LED?","a)	0.7 V","b)	5 V","c)	2.7 V","d)	-5 V",c,"Explanation: The safe and sufficient operating voltage range for LED is between 1.7 V to 3.3 V. Hence, 2.7 V is the best option."
Question 116,"13.	What is the order of magnitude of the response time of LED?","a)	10-6","b)	10-9","c)	10-15","d)	10-3",b,Explanation: The response time of a LED is typically in the order of nanoseconds.
Question 117,"14.	Which of the following is an advantage of using a LED?","a)	Low response time","b)	Compatibility with solid-state circuits","c)	Rugged construction and high lifetime","d)	All of the mentioned",d,"Explanation: The response time of a LED is typically in the order of nanoseconds. The operating voltage range for LED is between 1.7 V to 3.3 V which makes it compatible with solid-state circuits. Also, the semiconductor construction makes them rugged."
Question 118,1. Reverse saturation current of a common emitter transistor is,a) Collector current when emitter is open circuited and base-collector junction is reverse biased,b) Emitter current when collector is open circuited and base-collector junction is reverse biased,c) Base current when emitter circuit is open circuited and emitter-collector junction is reverse biased,d) Collector current when base circuit is open circuited,a,Explanation: Reverse saturation current is the collector current when emitter is open circuited and base-collector junction is reverse bias mode. In this mode of operation collector-base junction act as a reverse biased diode. The current in this reverse biased junction is known as reverse saturation current. 
Question 119,2. Reverse collector saturation current ICBO is,a) Current when emitter current is zero,b) Current when base current is zero,c) Same as reverse saturation current,d) Current when either emitter or base current is zero,A,Explanation: Reverse collector current ICBO is collector-base current when emitter is open. This is same as reverse saturation current in ideal but have slight difference in practical.
Question 120,3. Reverse collector saturation is greater than Reverse saturation current because reverse collector saturation,a) Is ideal,b) DoesnÍt include leakage current,c) They are same,d) Include avalanche multiplication current which is caused by the collision in collector junction,d,"Explanation: One of the reasons why reverse collector current exceeds the reverse saturation current isIntroduction of avalanche multiplication current in the base collector junction. This happens when high energy electron collides in the lattice it creates more number of electron and thus a greater current."
Question 121,4. Reverse collector saturation is greater than Reverse saturation current because reverse collector saturation,a) Is ideal,b) Consist leakage current flowing through junction and surface,c) DoesnÍt include avalanche multiplication current opposing collector current,d) They are same,b,"Explanation: One of the reasons why reverse collector current exceeds the reverse saturation current isIntroduction of avalanche multiplication current in the base collector junction. This happens when high energy electron collides in the lattice it creates more number of electron and thus a greater current.Another reason is leakage current flowing through junction and surface. The ICBO also counts leakage current flowing through junction and surface."
Question 122,5. Which of the following statement about a common base transistor is true,a) Very low input impedance,b) Very low output Impedance,c) Current gain is greater than unity,d) Voltage gain is very low,a,Explanation: Common base transistor has very low input resistance (20_). It also has very high output resistance. Its current gain is less than unity and it has a medium voltage gain.
Question 123,6. Which of the following statement about a common emitter transistor is true,a) Very high input resistance,b) High output resistance,c) Current gain is less than unity,d) Voltage gain is very low,b,Explanation: Common emitter transistor has high output resistance (about 40k). It has low input resistance (about 1k). Current gain is high (20 to few hundreds). Voltage gain is medium.
Question 124,7. Which of the following statement about a common collector transistor is true,a) Very low input impedance,b) Very high output impedance,c) Very low current gain,d) Low voltage gain,d,Explanation: common collector configuration has high input impedance and low output impedance. The current gain is high but voltage gain is low.
Question 125,8. Which of the following configuration is used as input stage of multistage amplifier,a) Common base configuration,b) Common emitter configuration,c) Common collector configuration,d) All configurations are equally suited,a,Explanation: Since input resistance is low and output resistance is high common base configuration is used as input stage of multistage amplifier. Common emitter configuration is used for audio signal amplification. Common collector is used for impedance matching.
Question 126,9. Which of the following configuration is used for audio signal amplification,a) Common base configuration,b) Common emitter configuration,c) Common collector configuration,d) All configurations are equally suited,b,"Explanation: Common base configuration is used as input stage of multistage amplifier. Since voltage gain is high, common emitter configuration is used for audio signal amplification. Common collector is used for impedance matching."
Question 127,10. Which of the following configuration is used for impedance matching,a) Common base configuration,b) Common emitter configuration,c) Common collector configuration,d) All configurations are equally suited,c,"Explanation: Common base configuration is used as input stage of multistage amplifier. Common emitter configuration is used for audio signal amplification. Since input impedance is high and output impedance is low, common collector is used for impedance matching."
Question 128,1. The state amplifier has no input is not called,a) Zero signal condition,b) Non-signal condition,c) Quiescent condition,d) Empty-signal condition,d,"Explanation:  The state at which amplifier has zero input signal is called zero signal condition, Non-signal condition, quiescent condition. There anything named empty-signal condition."
Question 129,2. Which of the following is not considered for quiescent operating point,a) DC collector-emitter voltage,b) DC collector current,c) DC base current,d) DC input voltage,d,"Explanation: The quiescent point is the operating point of an amplifier where the DC condition of amplifier is constant. For that we have to make sure that DC collector-emitter voltage, DC collector current, DC base current are constant."
Question 130,3. Which of the following resistor is not involving in biasing the above circuit,a) R1,b) R2,c) RC,d) RL,d,"Explanation: R1, R2, RC are, used to bias the circuit while RL is used as a load resistor. R1, R2 are used as a voltage divider. RC is used to control collector current."
Question 131,4. Which of the following statements is most correct to explain role of biasing circuit in the implementation of a transistor circuit,a) It is used provide proper voltage to every component in the circuit,b) It is used to provide Quiescent point of operation to a transistor,c) It is used to provide the quiescent collector current,d) It is used to provide proper and stable functional environment to all quiescent point parameters,d,Explanation: The basic function of biasing is to maintain amplifier in quiescent condition. The amplifier will properly work only if the quiescent condition is stable.
Question 132,5. What is the role of input capacitance in the transistor amplifying circuit,a) To prevent input variation from reaching output,b) To prevent DC content in the input from reaching transistor,c) There isnÍt any role for input capacitance,d) To increase input impedance,b,"Explanation: The input capacitance as its name indicates, used to prevent DC offset voltages in the input. It also prevents the transistor bias voltage to fed back to input generating circuit."
Question 133,6. What is the role of emitter bypass capacitance in the transistor amplifying circuit,a) To prevent damage of emitter resistance from variation in voltage,b) To prevent emitter from over voltage,c) To increase gain,d) To increase load to transistor circuit,c,Explanation: The major function of emitter bypass capacitance is to increase gain. Since it provides a low reactive path to the AC signal without changing the quiescent point.
Question 134,7. Which of the following is actually not a function of emitter bypass capacitor,a) Increase gain,b) Lower the impedance of emitter resistance,c) Provide a low reactance path,d) Help emitter resistance to withstand voltage variation,d,Explanation: The emitter bypass capacitor is not meant for reducing loading effect of emitter resistance. It is to increase gain. It provides a low reactive path to the AC signal without changing the quiescent point.
Question 135,8. What is the role of emitter resistance in the transistor amplifying circuit,a) To prevent thermal runaway,b) To prevent increase in gain,c) To lower the output impedance,d) To increase gain,a,Explanation: Early effect is the increase in the collector current without increase in input due to heating of semiconductor material which in turn reduce the resistance thus increases current. The emitter resistor decreases effective input voltage decrease when collector current increases and thus it reduces collector current itself.
Question 136,9. Which of the following is not true regarding output capacitor in the transistor biasing circuit,a) To pass AC signal,b) To stop DC signal,c) To couple the amplifier to load or next amplifier,d) There is no importance for an output capacitance,d,Explanation: The output capacitor or output coupling capacitor is provided to pass AC signal and to block DC signal. It also helps to couple the amplifier to load or next amplifier.
Question 137,10. Which of the following is a best biasing method for transistor bias,a) emitter bias,b) voltage divider bias,c) fixed bias,d) collector feedback bias,b,Explanation: Voltage divider bias is more stable because the biased voltage will not change. It is best to use voltage divider bias for accuracy.
Question 138,2. Bandwidth of amplifier is,a) Difference between upper cut-off frequency and lower cut-off frequency,b) Sum of upper cut-off frequency and lower cut-off frequency,c) Average of upper cut-off frequency and lower cut-off frequency,d) Iindependent to cut off frequency,a,Explanation: 3dB bandwidth of an amplifier is the difference between upper cut-off frequency and lower cut-off frequency. The unity gain bandwidth is the difference between frequencies were gain is 1.
Question 139,3. At 3dB cut-off frequency the voltage gain will be,a) 100% of maximum gain,b) 70.7% of maximum gain,c) 80.7% of maximum gain,d) 47.5% of maximum gain,b,Explanation: 3dB cut-off frequency is the frequency at which the power becomes half of its maximum value. That is the voltage gain becomes 0.707 times maximum voltage gain.
Question 140,4. At 3dB cut-off frequencies power will be,a) Half of maximum value,b) Quarter of maximum value,c) 70.7% of maximum value,d) Same as maximum value,a,"Explanation: 3dB cut-off frequency is the frequency at which the power becomes half of its maximum value. That is the voltage gain becomes 0.707 times maximum voltage gain. The importance of 3dB points is that for a human ear, it will not notice the fall in power of the signal up to 50% of maximum power. "
Question 141,5. A voltage amplifier has a voltage gain of 100.What will be gain at 3dB cut-off frequencies,a) 70.7,b) 80.7,c) 45.7,d) 50,a,"Explanation: 3dB cut-off frequency is the frequency at which the power becomes half of its maximum value. That is the voltage gain becomes 0.707 times maximum voltage gain. Therefore if voltage gain is 100 then gain at 3dB frequencies will be100 x 0.707 = 70.7."
Question 142,6. What is the roll-off rate of single order filter,a) 20dB/decade,b) 5dB/octave,c) 40dB/decade,d) 10dB/octave,a,Explanation: At lower and higher frequencies the gain is decreasing. This fall or decrease in gain is known as roll-off rate. It is commonly specified in dB/octave or dB/decade. For a single order filter the roll-off rate is 6dB/octave or 20dB/decade. 
Question 143,7. -6dB is equivalent to __________ power gain,a) 0.5,b) 0.25,c) 0.75,d) 0.8,b,"Explanation: The relation between dB and power gain is	dB = 10 log(power gain)	That is power gain for -6dB is	10(-6 /10) = 0.251."
Question 144,"8. Voltage gain of 1,00,000 is equivalent to",a) 10dB,b) 1000dB,c) 100dB,d) 50dB,c,"Explanation: dB = 20 log(voltage gain)	Therefor 100000 voltage gain is equivalent to	20 log(1,00,000)dB = 100 dB."
Question 145,"9. If the output power from an audio amplifier is measured at 100W when the signal frequency is 1kHz, and 1W when the signal frequency is 10kHz. Calculate the dB change in power.",a) -10dB,b) -20dB,c) -30dB,d) 15dB,b,"Explanation: The initial power gain in dB = 10 log (output power)					  = 10 log(100) = 20dB	            The final power gain in dB = 10 log(output power)					  = 10 log(1) = 0 dBSo change in power = final power _ initial power		       = 0-20  = -20dB."
Question 146,"10.  If an electronic system produces a 48mV output voltage when a 12mV signal is applied, calculate the decibel value of the systems output voltage gain",a) 6dB,b) 10dB,c) 20dB,d) 4dB,a,"Explanation: Gain of the system is = output voltage/input voltage				   = 48/12 = 4	Gain in dB = 20 log(voltage gain)		    = 20 log(4) = 6.0205dB."
Question 147,1. The use of amplifier in a circuit is to _____________ for input signal,a) Provide a phase shift,b) Provide strength,c) Provide frequency enhancement,d) Make circuit compatible,b,Explanation: The only use of amplifier in a circuit is to provide strength to signal.
Question 148,2. The unwanted characteristics of amplifier output apart from desired output is collectively termed as,a) Inefficiency,b) damage,c) Fault,d) Distortion,d,Explanation: The unwanted characteristics of amplifier output apart from desired output is collectively termed as distortion. This should be avoided.
Question 149,3. Unit of power rating of a transistor is expressed in,a) Watts,b) KWh,c) W/s,d) Wh,a,Explanation: Power rating is the maximum power allowable to dissipate by a transistor beyond this point transistor may behave unlikely. This is expressed in watts.
Question 150,4. Which device is used for the amplification of audio signal before power amplifiers,a) Diode,b) Op-amp,c) Vacuum tubes,d) SCR,c,Explanation: Before invention of power amplifier vacuum tubes are used for audio signal amplification which consumes large space and costly.
Question 151,5. Power amplifier directly amplifies,a) Voltage of signal,b) Current of the signal,c) Power of the signal,d) All of the mentioned,d,Explanation: Power amplifier increases voltage as well as current. Increase in voltage or current is small compared to normal amplifiers. But power amplification is occurred ie. Voltage x current is more.
Question 152,6. Input stage of power amplifier is also called,a) First op,b)  Beginning stage,c) Front end,d) Normal stage,c,Explanation: Input stage of power amplifier is also called front end.
Question 153,7. Transistor in power amplifier is,a) An active device,b) A passive device,c) A op-amp,d) A voltage generating device,a,Explanation: Transistor is an active device since transistor contain voltage sources which is necessary for amplification.
Question 154,8. For a perfect power amplifier output power rating will be ________ if output impedance is halved.,a) Halved,b) Squared,c) Doubled,d) Square rooted,c,Explanation: Since in the equation of power output power is proportional to current square and inversely proportional to resistance. Power will be doubled.
Question 155,9. Which of the following audio speaker will be hard to be driven by a power amplifier,a) 4ohm,b) 8ohm,c) 12ohm,d) 2ohm,d,"Explanation: If the resistance of audio amplifier is less, the output power of the transistor will be high since output current is increasing. Hence to drive 2ohm speaker amplifier needs double power that for 4ohm speaker."
Question 156,10. The power rating of amplifier is 100watts then the transistor can only operate at,a) Power higher than 100w,b) Power lower than 100w,c) Power near to 100w,d) Power lower than 50w,b,Explanation: The power rating of transistor is the maximum allowable power usage of a transistor beyond that transistor may damage. Last option may be correct if the word ñonlyî is not in the question.
Question 157,1. Which of the following amplifier class have highest linearity and lowest distortion?,a) Class A,b) Class B,c) Class C,d) Class B push-pull,a,Explanation: Class A amplifier have highest linearity and lowest distortion.
Question 158,2. Which of the following letter is not used to represent a class?,a) D,b) B,c) C,d) E,d,"Explanation: There is no amplifier called Class E. There are only A, B, C, D, G, H, S."
Question 159,3. Which of the following letter is not used to represent a class?,a) I,b) H,c) G,d) S,a,"Explanation: There is no amplifier called Class I. There are only A, B, C, D, G, H, S are present."
Question 160,4. Which of the following class has poorest linearity,a) Class A,b) Class B,c) Class C,d) Class AB,c,Explanation: Class C amplifier have poorest linearity since I only take < 180-degree oscillation.
Question 161,5. Which of the following amplifier cannot be used for audio frequency amplification?,a) Class A,b) Class C,c) Class AB,d) Class B push-pull,b,Explanation: Class C amplifier cannot be used for audio frequency amplifiers because of its high distortion.
Question 162,6. Which of the following amplifier is less efficient than others?,a) Class C,b) Class B,c) Class A,d) Class AB,c,Explanation: Class A is less efficient than other type it is the primitive type.
Question 163,7. Which of the following amplifier is designed to operate in digital pulses?,a) Class D,b) Class C,c) Class AB,d) Class B,a,"Explanation: Class D amplifiers are designed to operate on digital filters while C, AB, B can only amplify analog signal."
Question 164,8. Which of the following class have a theoretical efficiency of 50%?,a) Class A,b) Class C,c) Class AB,d) Class D,a,Explanation: Class A amplifier have theoretical efficiency of 50%. 50% of the energy supplied is a waste.
Question 165,9. Which of the following class have a theoretical efficiency of 78.5%?,a) Class A,b) Class D,c) Class C,d) Class B,d,Explanation: Class B amplifier have a theoretical efficiency of 78.5% which higher than Class A while Class D theoretically have efficiency of 100%.
Question 166,10. Which of the following amplifier is most suited for making tuning circuits?,a) Class A,b) Class B,c) Class C,d) Class D,c,Explanation: Class C is most suitable amplifier type for tuning circuit and radio frequency amplification. It employs filtering and hence the final signal is completely acceptable. Class C amplifiers are quite efficient than other types.
Question 167,1. The problem in which output signal is not exact reproduction of output signal in amplifier is collectively called,a) Thermal runaway,b) Phase error,c) Distortion,d) Biasing error,b,Explanation: The deviation of output from exact copy of input signal with an amplification is collectively known as the distortion of amplifier. They are of different kind.
Question 168,2. Which of the following is not a reason for distortion in amplifier output,a) Incorrect biasing level,b) Sinusoidal input,c) Non- linear amplification,d) Large input signal,d,"Explanation: Incorrect biasing level that is, if biasing level is not properly managed improper gain may lead to distortion. Non-linear amplification is a common reason for distortion in case of transistor. If input signal is large then output exceed maximum peak of output that can be provided by amplifier."
Question 169,3. Amplitude distortion is due to,a) Shift in Q-point,b) Change in input,c) Linear amplification,d) Large input signal,a,Explanation: Amplitude distortion is due to change in DC operating points when signal is applied.
Question 170,"4. If output of amplifier exceeds maximum allowable value, ___________ is occurs in output waveform.",a) Clipping,b) Clamping,c) Rectifying,d) Rounding,a,Explanation: If amplifier output is beyond maximum value it cannot display voltage further than maximum value. This constitute clipping.
Question 171,5. Flat tops in the output signal is due to,a) Frequency distortion,b) Amplitude distortion,c) Phase distortion,d) Harmonic distortion,b,Explanation: Flat top surface at output is called clipping of output waveform. This is due to amplifier distortion.
Question 172,6. Frequency distortion occurs due to level of _________ is varied with frequency.,a) Amplitude,b) Amplification,c) Distortion,d) Output,b,Explanation: Due to abnormalities of transistor level of amplification varies with frequency which constitute frequency distortion.
Question 173,7. Phase distortion can also be called as,a) Frequency distortion,b) Amplitude distortion,c) Delay distortion,d) Harmonic distortion,c,"Explanation: Another name of phase distortion is delay distortion. It is called so, because it associated with a delay."
Question 174,8. The distortion caused by multiple frequencies in output is called,a) Amplifier distortion,b) Harmonic distortion,c) Phase distortion,d) None of the mentioned,b,Explanation: The distortion happened due to presence of harmonic frequencies in output is known as harmonic distortion.
Question 175,9. Harmonic distortion is caused by nonlinearities of,a) Voltage divider circuit,b) Resistive elements only,c) Passive elements,d) Active elements,d,Explanation: Harmonic distortion is caused by Active elements in the circuit.
Question 176,10. Which of the following components in a transistor circuit is really responsible for harmonic distortion,a) Capacitor,b) Resistor,c) Transistor,d) Inductance,c,Explanation: Harmonic distortion is caused by Active elements in the circuit. Hence transistor is causing harmonic distortion.
Question 177,1. THD+N is a scale used to expressing _______ of an audio amplifier,a) Gain,b) Sound quality,c) Amplification factor,d) Distortion,b,Explanation: THDN is a scale used to express sound quality of an audio amplifier. THD+N is measured using distortion analyzer.
Question 178,2. THD is a measure of,a) Amount of harmonic content present in signal,b) Amount of output power,c) Total amount of distortion,d) Total amount of amplitude distortion,a,Explanation: THD or total harmonic distortion is a measure amount of harmonic content resent in a signal.
Question 179,3. The ratio of the RMS amplitude of the higher order harmonic frequencies to the RMS amplitude of the fundamental frequency is commonly called,a) Total harmonic power,b) Total amplitude distortion,c) Total frequency distortion,d) Total harmonic distortion,d,Explanation: THD is the ratio of RMS amplitude of higher order harmonic frequencies to the RMS amplitude of the fundamental frequency. THD is expressed in percentage.
Question 180,4. Intermodulation distortion is caused by,a) Presence of harmonic components in signal,b) Non- linearity of biasing circuit,c) Non-linearity of amplifier,d) High frequency signal,c,"Explanation: Intermodulation distortion is caused by non-linearity of amplifier. Therefore, this is a problem arises in real life implementation. "
Question 181,5. The ratio of the RMS value of additional frequency components in output to the RMS value of the original output of amplifier is called as,a) Intermodulation distortion,b) Total amplitude distortion,c) Total frequency distortion,d) Total harmonic distortion,a,Explanation: The ratio of the RMS value of additional frequency components in output to the RMS value of the original output of amplifier is known as intermodulation distortion.
Question 182,6. Second order harmonic distortion is,a) Amount of second harmonics and first harmonics in signal,b) Amount of second harmonics and fourth harmonics in signal,c) Amount of second harmonics present in signal,d) RMS value of all even harmonics in signal,c,Explanation: Second harmonic distortion is the amount of second harmonic signal present in signal. It is important since second harmonic is most troublesome among other harmonics.
Question 183,7. Power delivered to load is _________ with increase in harmonic distortion.,a) Increases,b) Decreases,c) Constant,d) Cannot predict,a,Explanation: The equation of output power (Pac)D = Pac (1+D2). It is clear that output power increases with distortion.
Question 184,8. In three-point method the harmonics which are considered for calculating distortion is,a) First harmonics only,b) First and Second harmonics only,"c) First, Second and Third harmonics only",d) Second and Third harmonics only,b,"Explanation: In tree-point method, the distortion due to first and second harmonics is considered."
Question 185,"9. If D1, D2, D3, D4 are the distortion produced by second, third, fourth, fifth respectively (others are insignificant). Then total harmonic distortion is",a) Ì(D12+D22+D32+D42),b) Ì(D12+D32),c) Ì(D22+D42),d) Ì(D12+D22),a,Explanation: Resultant harmonics is RMS value of individual harmonics.
Question 186,10. Power delivered to load calculated by five-point method can be equal to,(Pac is power delivered to load without distortion and D is the RMS of all Harmonic distortion),a) Pac (1-D2),b) Pac /D2,c) Pac (1+D2),c,Explanation: Equation of power delivered to load is same whether it is calculated by three-point or five point. The only difference is calculation of D.
Question 187,1. What is the purpose of heat sink in transistor circuit?,a) Provide sufficient heat for transistor,b) Absorb excess heat from transistor,c) Keep transistor at desired temperature range,d) All of the mentioned,d,Explanation: Heat sink in transistor circuit perform a major function of keeping temperature of transistor at a desired range which include all above option.
Question 188,2. What is the major principle behind heat sink action?,a) AvogadroÍs law,b) FourierÍs law,c) Archimedes principal,d) FaradayÍs law,b,"Explanation: Major principle behind heat sink is FourierÍs law. FourierÍs law of heat conduction, simplified to a one-dimensional form is, when there is a temperature gradient heat will be transferred from the higher temperature region to the lower temperature region. The rate at which heat is transferred by conduction is proportional to the product of the temperature gradient and the cross-sectional area through which heat is transferred."
Question 189,3. Comparing high heat objects with cooling objects which one will have slow-moving molecules?,a) High heat objects,b) Cooling objects,c) Both of them have equal molecular movement,d) Cannot be predicted,b,Explanation: Since temperature is low for cooling objects the energy of molecule will also be low.
Question 190,4. If water is used as a cooling medium then it is termed as,a) liquid plate,b) aqua plate,c) hot plate,d) cold plate,d,"Explanation: heat sink transfers thermal energy from a high-temperature medium to a low-temperature medium like air, water etc. Usually air is used as a low-temperature medium. If water is used as medium, then it is termed as cold plate."
Question 191,5. Active heat sinks are also called as,a) fans,b) on sinks,c) high sinks,d) normal sinks,a,Explanation: Active heat sinks are also called as fans. Fans can be classified into ball bearing type and sleeve bearing type. 
Question 192,6. Passive heat sinks are made of,a) Copper,b) Aluminum,c) Iron,d) Zinc,b,Explanation: The thermal conductivity of the aluminum is about 235 W/mK; it is the cheapest and lightweight metal. Aluminum heat sinks are also called as extruded heat sinks because they can be made using extrusion technique.
Question 193,7. Difference between active heat sink and passive heat sink is that passive heat sink,a) Possess mechanical components,b) Possess electrical components,c) Do not possess mechanical components,d) Do not possess metal components,c,Explanation: Unlike active heat sink passive heat sink do not possess any mechanical component and are made of aluminum finned radiator.
Question 194,8. Which of the following heat sink more durable?,a) Stamped heat sink,b) Ball bearing type heat sink,c) Sleeve bearing type heat sink,d) Aluminum heat sink,d,Explanation: The more durable heat sink among this is aluminum heat sink.
