Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,,,,,,,,,,,,,
Question 78,8. The reputation for cloud computing services for the quality of those services is shared by _________,a) replicas,b) shards,c) tenants,d) all of the mentioned,c,Explanation: Clouds often have higher reliability than private systems.,,,,,,,,,,,,,,,,,,,
Question 79,9. Cloud ________ are standardized in order to appeal to the majority of its audience.,a) SVAs,b) SLAs,c) SALs,d) None of the mentioned,b,Explanation: Custom SLAs that allow for multiple data sources are difficult to obtain or enforce.,,,,,,,,,,,,,,,,,,,
Question 80,10. ___________ is a function of the particular enterprise and application in an on-premises deployment.,a) Vendor lock,b) Vendor lock-in,c) Vendor lock-ins,d) None of the mentioned,b,Explanation: Vendor lock-in for a cloud computing solution in a PaaS model is very high.,,,,,,,,,,,,,,,,,,,
Question 81,1. The cost of a cloud computing deployment is roughly estimated to be :,a) CostCLOUD = _(UnitCostCLOUD / (Revenue – CostCLOUD)),b) CostCLOUD = _(UnitCostCLOUD x (Revenue + CostCLOUD)),c) CostCLOUD = _(UnitCostCLOUD x (Revenue – CostCLOUD)),d) All of the mentioned,c,Explanation: Unit cost is usually defined as the cost of a machine instance per hour or another resource.,,,,,,,,,,,,,,,,,,,
Question 82,2. Point out the correct statement :,a) Cloud resource pricing doesn’t always scale linearly based on performance,"b) Depending upon the service model type, other resources add additional unit costs",c) Typical efficiency in data centers are between 10 and 55 percent,d) All of the mentioned,a,"Explanation: Different cloud providers charge different amounts for these resources, some resources are free for one provider and charged for another, and there are almost always variable charges based on resource sizing.",,,,,,,,,,,,,,,,,,,
Question 83,3. The costs associated with resources in the cloud computing model _______ can be unbundled to a greater extent than the costs associated with CostDATACENTER.,a) CLOUD,b) CostCLOUD,c) CCLOUD,d) All of the mentioned,b,Explanation: The CostDATACENTER consists of the summation of the cost of each of the individual systems with all the associated resources.,,,,,,,,,,,,,,,,,,,
Question 84,"4. Security methods such as private encryption, VLANs and firewalls comes under __________ subject area.",a) CostDATACENTER = 1n_(UnitCostDATACENTER / (Revenue –(CostDATACENTER/Utilization))SYSTEMn,b) CostDATACENTER = 1n_(UnitCostDATACENTER x (Revenue –(CostDATACENTER/Utilization))SYSTEMn,c) CostDATACENTER = 1n_(UnitCostDATACENTER x (Revenue +(CostDATACENTER/Utilization))SYSTEMn,d) All of the mentioned,b,"Explanation: Sum includes terms for System 1, System 2, System 3, and so on.",,,,,,,,,,,,,,,,,,,
Question 85,5. Point out the wrong statement :,a) Data center operates under average loads,b) Private cloud doesn’t pooling of resources that a cloud computing provider can achieve,c) Private cloud doesn’t employ the same level of virtualization,d) None of the mentioned,c,Explanation: Capacity of the datacenter is fixed by the assets it has.,,,,,,,,,,,,,,,,,,,
Question 86,"6. For a server with a four-year lifetime, you would therefore need to include an overhead roughly equal to ___ percent of the system’s acquisition",cost.,a) 10,b) 20,c) 25,c,"Explanation: The costs of a system in a datacenter must also include the overhead associated with power, cooling, and the physical plant.",,,,,,,,,,,,,,,,,,,
Question 87,7. The overhead associated with ____ staff is a major cost.,a) Data Center,b) IT,c) Non IT,d) All of the mentioned,b,Explanation: It is not uncommon for the burden cost of a system in a datacenter to be 150 percent of the cost of the system itself.,,,,,,,,,,,,,,,,,,,
Question 88,8. Moving expenses onto the _____ side of a budget allows an organization to transfer risk to their cloud computing provider.,a) Dex,b) OpEx,c) Pex,d) All of the mentioned,b,Explanation: The conversion of real assets to virtual ones provides a measure of protection against too much or too little infrastructure.,,,,,,,,,,,,,,,,,,,
Question 89,9. ________ is surely an impediment to established businesses starting new enterprises.,a) Proposition,b) Capitalization,c) Globalization,d) None of the mentioned,b,Explanation: Capitalization may be the single largest reason that new businesses fail.,,,,,,,,,,,,,,,,,,,
Question 90,10. Cloud computing is also a good option when the cost of infrastructure and management is ______,a) low,b) high,c) moderate,d) none of the mentioned,b,Explanation: This is often the case with legacy applications and systems where maintaining the system capabilities is a significant cost.,,,,,,,,,,,,,,,,,,,
Question 91,1. ______-sizing is possible when the system load is cyclical or in some cases when there are predictable bursts or spikes in the load.,a) Left,b) Right,c) Top,d) All of the mentioned,b,"Explanation: You encounter cyclical loads in many public facing commercial ventures with seasonal demands, when the load is affected by time zones.",,,,,,,,,,,,,,,,,,,
Question 92,2. Point out the correct statement :,a) A standard machine instance (virtual computer) might cost $0.10 or less an hour,b) A typical storage charge might be $0.10 per GB/month,c) Outsourcing shifts the burden of capital expenditures onto the service provider,d) All of the mentioned,d,"Explanation: In reality, the major cloud providers provide machine instances in small slices that can be added within five minutes or less.",,,,,,,,,,,,,,,,,,,
Question 93,3. _____ is a financial estimate for the costs of the use of a product or service over its lifetime.,a) TCO,b) TOC,c) COT,d) All of the mentioned,a,Explanation: TCO stands for total Cost of Ownership.,,,,,,,,,,,,,,,,,,,
Question 94,4. The Microsoft ____ Platform ROI wizard provides a quick and dirty analysis of your TCO for a cloud deployment on Windows Azure in an attractive report format.,a) AWS,b) EC2,c) Azure,d) All of the mentioned,c,Explanation: A better metric for enterprises is captured by a Return on Investment or ROI calculation.,,,,,,,,,,,,,,,,,,,
Question 95,5. Point out the wrong statement :,"a) TCO must account for the real costs of items, but frequently they do not","b) A system consumes resources such as space in a datacenter or portion of your site, power, cooling, and management",c) Microsoft maintains an economics page for its Windows Azure Platform,d) None of the mentioned,d,"Explanation: When you account for monitoring and management of systems, you must account for the burdened cost of an IT employee, the cost of the hardware and software that is used for management, and other hidden costs.",,,,,,,,,,,,,,,,,,,
Question 96,6. A ________ Level Agreement (SLA) is the contract for performance negotiated between you and a service provider.,a) Service,b) Application,c) Deployment,d) All of the mentioned,a,"Explanation: In the early days of cloud computing, all SLAs were negotiated between a client and the provider.",,,,,,,,,,,,,,,,,,,
Question 97,7. Which of the following is specified parameter of SLA ?,a) Response times,b) Responsibilities of each party,c) Warranties,d) All of the mentioned,d,Explanation: Some SLAs are enforceable as contracts.,,,,,,,,,,,,,,,,,,,
Question 98,"8. When you purchase shrink-wrapped software, you are using that software based on a licensing agreement called ________",a) EULA,b) EUL,c) ELA,d) All of the mentioned,a,Explanation: EULA stands for End User License Agreement.,,,,,,,,,,,,,,,,,,,
Question 99,9. Cloud computing shifts capital expenditures into ________ expenditures.,a) operating,b) service,c) local,d) none of the mentioned,a,Explanation: Cloud computing changes the nature of the service provider and its relationship to its client.,,,,,,,,,,,,,,,,,,,
Question 100,10. Which of the following service is used for backing up a licensed computer ?,a) CarbonT,b) Karbonite,c) Carbonite,d) None of the mentioned,c,Explanation: Cloud computing applications rarely use machine licenses when the application is meant to be ubiquitous.,,,,,,,,,,,,,,,,,,,
Question 101,1. Which of the following is one of the property that differentiates cloud computing ?,a) scalability,b) virtualization,c) composability,d) all of the mentioned,c,Explanation: Composability is the ability to build applications from component parts.,,,,,,,,,,,,,,,,,,,
Question 102,2. Point out the correct statement :,"a) Cloud computing is a natural extension of many of the design principles, protocols, plumbing, and systems",b) Platforms are used to create more easy software,c) All SLAs are enforceable as contracts,d) All of the mentioned,a,"Explanation: Cloud computing describes some new capabilities that are architected into an application stack and are responsible for the programmability, scalability, and virtualization of resources.",,,,,,,,,,,,,,,,,,,
Question 103,3. A _________ is a cloud computing service that is both hardware and software.,a) service,b) platform,c) model,d) all of the mentioned,b,Explanation: Virtual appliances are an important example of a platform.,,,,,,,,,,,,,,,,,,,
Question 104,4. Cloud computing doesn’t require that ________ and software be composable.,a) cloud,b) database,c) hardware,d) all of the mentioned,c,Explanation: It is a highly desirable characteristic from a developer or user’s standpoint.,,,,,,,,,,,,,,,,,,,
