Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 32,"3. When a top-level function is entered, the LISP processor do(es)",a) It reads the function entered,b) It evaluates the function and the function’s operands,c) It prints the results returned by the function,d) All of the mentioned,d,Explanation: None. 
Question 33,4. One method of programming a computer to exhibit human intelligence is called modeling or:,a) simulation,b) cognitization,c) duplication,d) psychic amelioration,a,Explanation: None. 
Question 34,5. Graphic interfaces were first used in a Xerox product called:,a) InterLISP,b) Ethernet,c) Smalltalk,d) ZetaLISP,c,Explanation: None. 
Question 35,6. The Al researcher who co-authored both the Handbook of Artificial Intelligence and The Fifth Generation is:,a) Bruce Lee,b) Randy Davis,c) Ed Feigenbaum,d) Mark Fox,c,Explanation: None. 
Question 36,7. Which of the following is being investigated as a means of automating the creation of a knowledge base?,a) automatic knowledge acquisition,b) simpler tools,c) discovery of new concepts,d) all of the mentioned,d,Explanation: None. 
Question 37,8. The CAI (Computer-Assisted Instruction) technique based on programmed instruction is:,a) frame-based CAI,b) generative CAI,c) problem-solving CAI,d) intelligent CAI,a,Explanation: None. 
Question 38,9. A robot’s “arm” is also known as its:,a) end effector,b) actuator,c) manipulator,d) servomechanism,c,Explanation: None. 
Question 39,10. KEE is a product of:,a) Teknowledge,b) IntelliCorpn,c) Texas Instruments,d) Tech knowledge,b,Explanation: None. 
Question 40,"11. In LISP, the function X (x). (2x+l) would be rendered as",a) (lambda (x) (+(*2 x)l)),b) (lambda (x) (+1 (* 2x),c) (+ lambda (x) 1 (*2x)),d) (* lambda(x) (+2_1),a,Explanation: None. 
Question 41,12. A natural language generation program must decide:,a) what to say,b) when to say something,c) why it is being used,d) both what to say & when to say something,a,Explanation: None. 
Question 42,13. The hardware features of LISP machines generally include:,a) large memory and a high-speed processor,b) letter-quality printers and 8-inch disk drives,c) a mouse and a specialized keyboard,d) large memory and a high-speed processor & a mouse and a specialized keyboard,d,Explanation: None. 
Question 43,14. In which of the following areas may ICAI programs prove to be useful?,a) educational institutions,b) corporations,c) department of Defense,d) all of the mentioned,a,Explanation: None. 
Question 44,5. A network with named nodes and labeled arcs that can be used to represent certain natural language grammars to facilitate parsing.,a) Tree Network,b) Star Network,c) Transition Network,d) Complete Network,c,Explanation: None. 
Question 45,1. Which of the following is true related to ‘Satisfiable’ property?,a) A statement is satisfiable if there is some interpretation for which it is false,b) A statement is satisfiable if there is some interpretation for which it is true,c) A statement is satisfiable if there is no interpretation for which it is true,d) A statement is satisfiable if there is no interpretation for which it is false,b,Explanation: ‘Satisfiable’ property is a  statement is satisfiable if there is some interpretation for which it is true. 
Question 46,2. Two literals are complementary if,a) They are equal,b) They are identical and of equal sign,c) They are identical but of opposite sign,d) They are unequal but of equal sign,c,Explanation: Two literals are complementary if They are identical but of opposite sign. 
Question 47,3. Consider a good system for the representation of knowledge in a particular domain. What property should it possess?,a) Representational Adequacy,b) Inferential Adequacy,c) Inferential Efficiency,d) All of the mentioned,d,"Explanation: Consider a good system for the representation of knowledge in a particular domain. The properties should be Representational Adequacy, Inferential Adequacy, Inferential Efficiency and Acquisitional Efficiency. "
Question 48,4. What is Transposition rule?,"a) From P _ Q, infer ~Q _ P","b) From P _ Q, infer Q _ ~P","c) From P _ Q, infer Q _ P","d) From P _ Q, infer ~Q _ ~P",d,"Explanation: Transposition rule- From P _ Q, infer ~Q _ ~P. "
Question 49,5. Third component of a planning system is to,a) Detect when a solution has been found,b) Detect when solution will be found,c) Detect whether solution exists or not,d) Detect whether multiple solutions exist,a,Explanation: Third component of a planning system is to detect when a solution has been found. 
Question 50,6. Which of the following is true in Statistical reasoning?,a) The representation is extended to allow some kind of numeric measure of certainty to be associated with each statement,b) The representation is extended to allow ‘TRUE or FALSE’ to be associated with each  statement,c) The representation is extended to allow some kind of numeric measure of certainty to be associated common to all statements,d) The representation is extended to allow ‘TRUE or FALSE’ to be associated common to all statements,a,Explanation: Statistical reasoning is the representation is extended to allow some kind of numeric measure of certainty to be associated with each statement. 
Question 51,"7. In default logic, we allow inference rules of the form",a) (A : B) / C,b) A / (B : C),c) A / B,d) A / B : C,a,"Explanation: In default logic, we allow inference rules of the form:(A : B) / C. "
Question 52,"8. In Bayes theorem, what is the meant by P(Hi|E)?",a) The probability that hypotheses Hi is true given evidence E,b) The probability that hypotheses Hi is false given evidence E,c) The probability that hypotheses Hi is true given false evidence E,d) The probability that hypotheses Hi is false given false evidence E,a,"Explanation: In Bayes theorem,  P(Hi|E)  is the probability that hypotheses Hi is true given evidence E. "
Question 53,9. Default reasoning is another type of,a) Monotonic reasoning,b) Analogical reasoning,c) Bitonic reasoning,d) Non-monotonic reasoning,d,Explanation: Default reasoning is another type of non-monotonic reasoning. 
Question 54,10. Generality is the measure of,a) Ease with which the method can be adapted to different domains of application,b) The average time required to construct the target knowledge structures from some specified initial structures,c) A learning system to function with unreliable feedback and with a variety of training examples,d) The overall power of the system,a,Explanation: Generality is the measure of ease with which the method can be adapted to different domains of application. 
Question 55,1. The performance of an agent can be improved by,a) Learning,b) Observing,c) Perceiving,d) None of the mentioned,a,"Explanation: An agent can improve by saving the previous states on which it was earlier, hence in future it can learn to respond in the same situation better. "
Question 56,2. External actions of the agent is selected by,a) Perceive,b) Performance,c) Learning,d) Actuator,b,Explanation: Depends on how you want to improve and what the performance measures are. 
Question 57,3. The action of the Simple reflex agent completely depends upon,a) Perception history,b) Current perception,c) Learning theory,d) Utility functions,b,"Explanation: These agents select actions based on the current perception, ignoring the rest of the perception history. "
Question 58,4. Following could be the approaches to Artificial Intelligence,a) Strong Artificial Intelligence,b) Weak Artificial Intelligence,c) Applied Artificial Intelligence,d) All of the mentioned,d,"Explanation: Strong Artificial Intelligence aims to build machines that can truly reason and solve problems.Weak Artificial Intelligence deals with the creation of some form of computer-based artificial intelligence that cannot truly reason and solve problems, but can act as if it were intelligent.Applied Artificial Intelligence aims to produce commercially viable “smart” systems.In Cognitive Artificial Intelligence approach, a computer is  used to test theories about how the human mind works. "
Question 59,5. An Artificial Neural Network Is based on,a) Strong Artificial Intelligence approach,b) Weak Artificial Intelligence approach,c) Cognitive Artificial Intelligence approach,d) Applied Artificial Intelligence approach,c,"Explanation: In Cognitive Artificial Intelligence approach, a computer is used to test theories about how the human mind works–for example, theories about how we recognize faces and other objects, or about how we solve abstract problems. "
Question 60,6. The Face Recognition system is based on,a) Strong Artificial Intelligence approach,b) Weak Artificial Intelligence approach,c) Cognitive Artificial Intelligence approach,d) Applied Artificial Intelligence approach,d,"Explanation: Applied Artificial Intelligence approach aims to produce commercially viable “smart” systems such as, for example, a security system that is able to recognize the faces of people who permitted to enter a particular building. Applied Artificial Intelligence has already enjoyed considerable success. "
Question 61,7. A completely automated chess engine (Learn from previous games) is based on,a) Strong Artificial Intelligence approach,b) Weak Artificial Intelligence approach,c) Cognitive Artificial Intelligence approach,d) Applied Artificial Intelligence approach,a,Explanation: Strong Artificial Intelligence aims to build machines that can truly reason and solve problems. These machines must be self-aware and their overall intellectual ability needs to be indistinguishable from that of a human being. Strong Artificial Intelligence maintains that suitably programmed machines are capable of cognitive mental states. 
Question 62,8. A basic line following robot is based on,a) Strong Artificial Intelligence approach,b) Weak Artificial Intelligence approach,c) Cognitive Artificial Intelligence approach,d) Applied Artificial Intelligence approach,b,"Explanation: Weak Artificial Intelligence deals with the creation of some form of computer-based artificial intelligence that cannot truly reason and solve problems, but can act as if it were intelligent. Weak Artificial Intelligence holds that suitably programmed machines can simulate human cognition. "
Question 63,9. The following task/tasks Artificial Intelligence could not do yet,a) Understand natural language robustly,b) Web mining,c) Construction of plans in real time dynamic systems,d) All of the mentioned,d,Explanation: These are the areas in which needs more focus for improvements. 
Question 64,10. What among the following is/are the example of the intelligent agent/agents?,a) Human,b) Robot,c) Autonomous Spacecraft,d) All of the mentioned,d,"Explanation: Humans can be looked upon as agents. They have eyes, ears, skin, taste buds, etc. for sensors; and hands, fingers, legs, mouth for effectors. Robots are agents. Robots may have camera, sonar, infrared, bumper, etc. for sensors. They can have grippers, wheels, lights, speakers, etc. for actuators. Autonomous Spacecraft takes decision on its own based on perceptions. "
Question 65,"1. When talking to a speech recognition program, the program divides each second of your speech into 100 separate:",a) Codes,b) Phonemes,c) Samples,d) Words,c,Explanation: None. 
Question 66,2. Which term is used for describing the judgmental or commonsense part of problem solving?,a) Heuristic,b) Critical,c) Value based,d) Analytical,a,Explanation: None. 
Question 67,3. Which stage of the manufacturing process has been described as “the mapping of function onto form”?,a) Design,b) Distribution,c) Project management,d) Field service,a,Explanation: None. 
Question 68,4. Which kind of planning consists of successive representations of different levels of a plan?,a) hierarchical planning,b) non-hierarchical planning,c) all of the mentioned,d) project planning,a,Explanation: None. 
Question 69,5. What was originally called the “imitation game” by its creator?,a) The Turing Test,b) LISP,c) The Logic Theorist,d) Cybernetics,a,Explanation: None. 
Question 70,6. Decision support programs are designed to help managers make:,a) budget projections,b) visual presentations,c) business decisions,d) vacation schedules,c,Explanation: None. 
Question 71,"7. PROLOG is an AI programming language, which solves problems with a form of symbolic logic known as predicate calculus. It was developed in 1972 at the University of Marseilles by a team of specialists. Can you name the person who headed this team?",a) Alain Colmerauer,b) Niklaus Wirth,c) Seymour Papert,d) John McCarthy,a,Explanation: None. 
Question 72,8. Programming a robot by physically moving it through the trajectory you want it to follow be called:,a) contact sensing control,b) continuous-path control,c) robot vision control,d) pick-and-place control,b,Explanation: None. 
Question 73,"9. To invoke the LISP system, you must enter",a) AI,b) LISP,c) CL (Common Lisp),d) Both LISP and CL,b,Explanation: None. 
Question 74,"10. In LISP, the function (list-length <list>)",a) returns a new list that is equal to &lt:list> by copying the top-level element of <list>,b) returns the length of <list>,c) returns t if <list> is empty,d) all of the mentioned,b,Explanation: None. 
Question 75,11. ART (Automatic Reasoning Tool) is designed to be used on:,a) LISP machines,b) Personal computers,c) Microcomputers,d) All of the mentioned,a,Explanation: None. 
Question 76,12. Which particular generation of computers is associated with artificial intelligence?,a) Second,b) Fourth,c) Fifth,d) Third,c,Explanation: None. 
Question 77,13. Shaping teaching techniques to fit the learning patterns of individual students is the goal of:,a) decision support,b) automatic programming,c) intelligent computer-assisted instruction,d) expert systems,c,Explanation: None. 
Question 78,14. Which of the following function returns t If the object is a symbol m LISP?,a) (* <object>),b) (symbolp <object>),c) (nonnumeric <object>),d) (constantp <object>),b, Explanation: None. 
Question 79,15. The symbols used in describing the syntax of a programming language are,a) 0,b) {},c) “”,d) <>,d,Explanation: None. 
Question 80,1. Ambiguity may be caused by:,a) syntactic ambiguity,b) multiple word meanings,c) unclear antecedents,d) all of the mentioned,d,Explanation: None. 
Question 81,2. Which company offers the LISP machine considered “the most powerful symbolic processor available”?,a) LMI,b) Symbolics,c) Xerox,d) Texas Instruments,b,Explanation: None. 
Question 82,3. What of the following is considered a pivotal event in the history of Artificial Intelligence?,"a) 1949, Donald O, The organization of Behavior","b) 1950, Computing Machinery and Intelligence","c) 1956, Dartmouth University Conference Organized by John McCarthy","d) 1961, Computer and Computer Sense",c,Explanation: None. 
Question 83,4. Natural language processing is divided into the two subfields of:,a) symbolic and numeric,b) time and motion,c) algorithmic and heuristic,d) understanding and generation,c,Explanation: None. 
Question 84,"5. High-resolution, bit-mapped displays are useful for displaying:",a) clearer characters,b) graphics,c) more characters,d) all of the mentioned,c,Explanation: None. 
Question 85,6. A bidirectional feedback loop links computer modeling with:,a) artificial science,b) heuristic processing,c) human intelligence,d) cognitive science,c,Explanation: None. 
Question 86,7. Which of the following have people traditionally done better than computers?,a) recognizing relative importance,b) finding similarities,c) resolving ambiguity,d) all of the mentioned,c,Explanation: None. 
Question 87,"8. In LISP, the function evaluates both and is",a) set,b) setq,c) add,d) eva,a,Explanation: None. 
Question 88,9. Which type of actuator generates a good deal of power but tends to be messy?,a) electric,b) hydraulic,c) pneumatic,d) both hydraulic & pneumatic,b,Explanation: None. 
Question 89,10. Research scientists all over the world are taking steps towards building computers with circuits patterned after the complex interconnections existing among the human brain’s nerve cells. What name is given to such type of computers?,a) Intelligent computers,b) Supercomputers,c) Neural network computers,d) Smart computers,c,Explanation: None. 
Question 90,11. The integrated circuit was invented by Jack Kilby of:,a) MIT,b) Texas Instruments,c) Xerox,d) All of the mentioned,b,Explanation: None. 
Question 91,12. People overcome natural language problems by:,a) grouping attributes into frames,b) understanding ideas in context,c) identifying with familiar situations,d) both understanding ideas in context & identifying with familiar situations,d,Explanation: None. 
Question 92,"13. The Cedar, BBN Butterfly, Cosmic Cube and Hypercube machine can be characterized as",a) SISD,b) MIMD,c) SIMD,d) MISD,b, Explanation: None. 
Question 93,"14. A series of AI systems, developed by Pat Langley to explore the role of heuristics in scientific discovery is ________",a) RAMD,b) BACON,c) MIT,d) DU,b,Explanation: None. 
Question 94,1. Nils Nilsson headed a team at SRI that created a mobile robot named:,a) Robotics,b) Dedalus,c) Shakey,d) Vax,c,Explanation: None. 
Question 95,2. An Artificial Intelligence technique that allows computers to understand associations and relationships between objects and events is called:,a) heuristic processing,b) cognitive science,c) relative symbolism,d) pattern matching,c,Explanation: None. 
Question 96,3. The new organization established to implement the Fifth Generation Project is called:,a) ICOT (Institute for New Generation Computer Technology),b) MITI (Ministry of International Trade and Industry),c) MCC (Microelectronics and Computer Technology Corporation),d) SCP (Strategic Computing Program),a,Explanation: None. 
Question 97,4. The field that investigates the mechanics of human intelligence is:,a) history,b) cognitive science,c) psychology,d) sociology,b,Explanation: None. 
Question 98,5. What is the name of the computer program that simulates the thought processes of human beings?,a) Human logic,b) Expert reason,c) Expert system,d) Personal information,c,Explanation: None. 
Question 99,6. What is the name of the computer program that contains the distilled knowledge of an expert?,a) Database management system,b) Management information System,c) Expert system,d) Artificial intelligence,c,Explanation: None. 
Question 100,7. Claude Shannon described the operation of electronic switching circuits with a system of mathematical logic called:,a) LISP,b) XLISP,c) Neural networking,d) Boolean algebra,c,Explanation: None. 
Question 101,8. A computer program that contains expertise in a particular domain is called an:,a) intelligent planner,b) automatic processor,c) expert system,d) operational symbolizer,c,Explanation: None. 
Question 102,9. What is the term used for describing the judgmental or commonsense part of problem solving?,a) Heuristic,b) Critical,c) Value based,d) Analytical,a,"Explanation: None."
Question 103,10. What was originally called the “imitation game” by its creator?,a) The Turing Test,b) LISP,c) The Logic Theorist,d) Cybernetics,a,"Explanation: None."
Question 104,11. Decision support programs are designed to help managers make:,a) budget projections,b) visual presentations,c) business decisions,d) vacation schedules,c,"Explanation: None."
Question 105,12. Programming a robot by physically moving it through the trajectory you want it to follow is called:,a) contact sensing control,b) continuous-path control,c) robot vision control,d) pick-and-place control,b,"Explanation: None."
Question 106,1. The primary interactive method of communication used by humans is:,a) reading,b) writing,c) speaking,d) all of the mentioned,c,Explanation: None. 
Question 107,2. Elementary linguistic units which are smaller than words are:,a) allophones,b) phonemes,c) syllables,d) all of the mentioned,d,Explanation: None. 
Question 108,"3. In LISP, the atom that stands for “true” is",a) t,b) ml,c) y,d) time,a,Explanation: None. 
Question 109,4. A mouse device may be:,a) electro-chemical,b) mechanical,c) optical,d) both mechanical and optical,d,Explanation: None. 
Question 110,5. An expert system differs from a database program in that only an expert system:,a) contains declarative knowledge,b) contains procedural knowledge,c) features the retrieval of stored information,d) expects users to draw their own conclusions,b,Explanation: None. 
Question 111,6. Arthur Samuel is linked inextricably with a program that played:,a) checkers,b) chess,c) cricket,d) football,a,Explanation: None. 
Question 112,7. Natural language understanding is used in:,a) natural language interfaces,b) natural language front ends,c) text understanding systems,d) all of the mentioned,d,Explanation: None. 
Question 113,8. Which of the following are examples of software development tools?,a) debuggers,b) editors,"c) assemblers, compilers and interpreters",d) all of the mentioned,d,Explanation: None. 
Question 114,9. The first AI programming language was called:,a) BASIC,b) FORTRAN,c) IPL(Inductive logic programming),d) LISP,d,Explanation: None. 
Question 115,10. The Personal Consultant is based on:,a) EMYCIN,b) OPS5+,c) XCON,d) All of the mentioned,d,Explanation: None. 
Question 116,1. Machine learning is,a) The autonomous acquisition of knowledge through the use of computer programs,b) The autonomous acquisition of knowledge through the use of manual programs,c) The selective acquisition of knowledge through the use of computer programs,d) The selective acquisition of knowledge through the use of manual programs,a,Explanation: Machine learning is the autonomous acquisition of knowledge through the use of computer programs. 
Question 117,2. Factors which affect the performance of learner system does not include,a) Representation scheme used,b) Training scenario,c) Type of feedback,d) Good data structures,d,Explanation: Factors which affect the performance of learner system does not include good data structures. 
Question 118,3. Different learning methods does not include,a) Memorization,b) Analogy,c) Deduction,d) Introduction,d,Explanation: Different learning methods does not include introduction.  
Question 119,"4. In language understanding, the levels of knowledge that does not include",a) Phonological,b) Syntactic,c) Empirical,d) Logical,c,"Explanation: In language understanding, the levels of knowledge that does not include empirical knowledge. "
Question 120,5. A model of language consists of the categories which does not include,a) Language units,b) Role structure of units,c) System constraints,d) Structural units,d,Explanation: A model of language consists of the categories which does not include structural units. 
Question 121,6. What is a top-down parser?,a) Begins by hypothesizing a sentence (the symbol S) and successively predicting lower level constituents until individual preterminal symbols are written,b) Begins by hypothesizing a sentence (the symbol S) and successively predicting upper level constituents until individual preterminal symbols are written,c) Begins by hypothesizing lower level constituents and successively predicting a sentence (the symbol S),d) Begins by hypothesizing upper level constituents and successively predicting a sentence (the symbol S),a,Explanation: A top-down parser begins by hypothesizing a sentence (the symbol S) and successively predicting lower level constituents until individual preterminal symbols are written. 
Question 122,7. Among the following which is not a horn clause?,a) p,b) Øp V q,c) p _ q,d) p _ Øq,d,Explanation: p _ Øq is not a horn clause. 
Question 123,"8. The action ‘STACK(A, B)’ of a robot arm specify to",a) Place block B on Block A,"b) Place blocks A, B on the table in that order","c) Place blocks B, A on the table in that order",d) Place block A on block B,d,"Explanation: The action ‘STACK(A,B)’ of a robot arm specify to Place block A on block B. "
Question 124,1. Which instruments are used for perceiving and acting upon the environment?,a) Sensors and Actuators,b) Sensors,c) Perceiver,d) None of the mentioned,a,"Explanation: An agent is anything that can be viewed as perceiving and acting upon the environment through the sensors and actuators."
Question 125,2. What is meant by agent’s percept sequence?,a) Used to perceive the environment,b) Complete history of actuator,c) Complete history of perceived things,d) None of the mentioned,c,"Explanation: An agent’s percept sequence is the complete history of everything that the agent has ever perceived."
Question 126,3. How many types of agents are there in artificial intelligence?,a) 1,b) 2,c) 3,d) 4,d,"Explanation: The four types of agents are Simple reflex, Model based, Goal based and Utility based agents."
Question 127,4. What is the rule of simple reflex agent?,a) Simple-action rule,b) Condition-action rule,c) Simple & Condition-action rule,d) None of the mentioned,b,"Explanation: Simple reflex agent is based on the present condition and so it is condition action rule."
Question 128,5. What are the composition for agents in artificial intelligence?,a) Program,b) Architecture,c) Both Program & Architecture,d) None of the mentioned,c,"Explanation: An agent program will implement function mapping percepts to actions."
Question 129,6. In which agent does the problem generator is present?,a) Learning agent,b) Observing agent,c) Reflex agent,d) None of the mentioned,a,"Explanation: Problem generator will give the suggestion to improve the output for learning agent."
Question 130,7. Which is used to improve the agents performance?,a) Perceiving,b) Learning,c) Observing,d) None of the mentioned,b,"Explanation: An agent can improve its performance by storing its previous actions."
Question 131,8. Which agent deals with happy and unhappy states?,a) Simple reflex agent,b) Model based agent,c) Learning agent,d) Utility based agent,d,"Explanation: A utility function maps a state onto a real number which describes the associated degree of happiness."
Question 132,9. Which action sequences are used to achieve the agent’s goal?,a) Search,b) Plan,c) Retrieve,d) Both Search & Plan,d,"Explanation:  When the environment becomes more tricky means, the agent needs plan and search action sequence to achieve the goal."
Question 133,10. Which element in agent are used for selecting external actions?,a) Perceive,b) Performance,c) Learning,d) Actuator,b,"Explanation: None."
Question 134,1. What is Artificial intelligence?,a) Putting your intelligence into Computer,b) Programming with your own intelligence,c) Making a Machine intelligent,d) Playing a Game,c,"Explanation: Because AI is to make things work automatically through machine without using human effort. Machine will give the result with just giving input from human. That means the system or machine will act as per the requirement."
Question 135,2. Which is not the commonly used programming language for AI?,a) PROLOG,b) Java,c) LISP,d) Perl,d,"Explanation: Because Perl is used as a script language, and not of much use for AI practice. All others are used to generate an artificial program."
Question 136,3. Artificial Intelligence has its expansion in the following application. (Mark all that apply),a) Planning and Scheduling,b) Game Playing,c) Diagnosis,d) All of the mentioned,d,"Explanation: All sectors require intelligence and automation for its working."
Question 137,"4. An ‘agent’ is anything that,",a) Perceives its environment through sensors and acting upon that environment through actuators,b) Takes input from the surroundings and uses its intelligence and performs the desired operations,c) A embedded program controlling line following robot,d) All of the mentioned,d,"Explanation: An agent is anything that can be viewed as perceiving and acting upon the environment through the sensors and actuators. Mean it takes input from its environment through sensors, performs operation and gives output through actuators."
Question 138,5. Agents behavior can be best described by,a) Perception sequence,b) Agent function,c) Sensors and Actuators,d) Environment in which agent is performing,b,"Explanation: An agent’s behavior is described by the agent function that maps any given percept sequence to an action, which can be implemented by agent program. The agent function is anabstract mathematical description; the agent program is a concrete implementation, runningon the agent architecture."
Question 139,"6. Rational agent is the one who always does the right thing. State true or falsea) Trueb) FalseView Answer",,,,,a,"Explanation: Rational agent is the one who always does the right thing Right in a sense that it makes the agent the most successful."
Question 140,"7. Performance Measures are fixed for all agents. State true or falsea) Trueb) FalseView Answer",,,,,a,"Explanation: As a general rule, it is better to design performance measures according to what one actually wants in the environment, rather than according to how one thinks the agent should behave."
Question 141,8. What is rational at any given time depends on,a) The performance measure that defines the criterion of success,b) The agent’s prior knowledge of the environment,c) The actions that the agent can perform,d) All of the mentioned,d,"Explanation: For each possible percept sequence, a rational agent should select an action that is expected to maximize its performance measure, given the evidence provided by the percept sequence and whatever built-in knowledge the agent has."
Question 142,"9. An omniscient agent knows the actual outcome of its actions and can act accordingly; but omniscience is impossible in reality. Rational Agent always does the right thing; but Rationality is possible in reality. State true or falsea) Trueb) FalseView Answer",,,,,a,"Explanation: Refer the definition of rational and omniscient agents."
Question 143,10. The Task Environment of an agent consists of,a) Sensors,b) Actuators,c) Performance Measures,d) All of the mentioned,d,"Explanation: The task environment of an agent is described by four parts performance measures, sensors, actuators and environment, generally known as the PEAS descriptions."
