Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 106,"9. If Rs= 5½, Rf= 25½ and -2.5V ² vg ² 2.5V. What are the smallest power supply voltages that could be applied and still have opamp in linear region?",a) ±9V,b) ±2.5V,c) ±6V,d) ±15V,d,"Explanation: vo= ((Rs+Rf)/Rs) *vg. By substituting the values, we have vo=6vg.                           vo=6(-2.5) = -15                           vo=6(2.5) =15."
Question 107,10.  If an inverting amplifying circuit has a gain of 10 and ±15V power supplies are used. The values of input for which opamp would be in the linear region?,a) ±1.25,b) ±1.5V,c) ±2.25,d) ±0.5,b,"Explanation: Gain= Rf/Rs= 10 and vo= (-Rf/Rs)*vs._ vo= -10vs and given -12V² vo ² 12V._ -15= -10vs. So, vs= 1.5V_ 15=-10vs. So, vs=-1.5V."
Question 108,11. If the gain of an  inverting amplifying circuit is 13 and ±22V power supplies are used. What range of input values allows the opamp to be in linear region?,a) ±1.69,b) ±1.35V,c) ±2.28,d) ±0.5,a,"Explanation: Gain= Rf/Rs= 13 and vo= (-Rf/Rs)*vs._ vo= -13vs and given -22V² vo ² 22V._ -22= -13vs. So, vs=1.692 V_ 22=-13vs. So, vs=-1.692V."
Question 109,12. The input applied to an Inverting amplifier is ______________,a) Equal to output,b) Equal to Inverted output,c) Not equal to output,d) Output is equal to input,b,"Explanation: The name itself indicates it is an Inverting amplifier. So, the input applied is inverted and is given as output. Suppose the input applied is sinusoidal then, the output is"
Question 110,3. The formula used to find the capacitance C is  __________,a) Q/v,b) Qv,c) Q-v,d) Q + v,a,"Explanation:  Q=cv. Q-charge, V-voltage, c-capacitance."
Question 111,4. The capacitor doesnÕt allow sudden changes in  ___________,a) Voltage,b) Current,c) Resistance,d) Capacitance,a,"Explanation: Any small change in voltage occurs within zero time across the gives an infinite current which is practically impossible. So, in a fixed capacitor, the voltage cannot change abruptly."
Question 112,5. The Inductor doesnÕt allow sudden changes in ___________,a) Voltage,b) Current,c) Resistance,d) Inductance,b,"Explanation: Any small change in current occurs within zero time across the gives an infinite voltage which is practically impossible. So, in a fixed inductor, the voltage cannot change abruptly."
Question 113,6. The expression for energy of an inductor ____________,a) _ LI,b) L/2I,c) _ L2I,d) _ LI2,d,"Explanation: E=ºp dt            =º LI*(dI/dt).dt            = LºI dI            = _ LI2."
Question 114,7. The units for inductance is _________ and capacitance is ___________,"a) Faraday, Henry","b) Coulomb, Faraday","c) Henry, Faraday","d) Henry, Coulomb",c,Explanation: The unit for inductance is ÔHenryÕ and capacitance is ÔFaradayÕ.
Question 115,9. If a capacitor of capacitance 9.2F has a voltage of 22.5V across it. Calculate the energy of the capacitor.,a)  5062.5W,b) 506.25W,c) 50.625W,d) 50625W,b,Explanation: E= _ cv2.
Question 116,10. The voltage applied to the 212mH inductor is given by v(t)= 15e-5tv. Calculate the current.,a) 16.782e-10t,b) 15.75e-5t,c) 11.27e-10t,d) 14.15e-5t,d,Explanation: Current I(t)= 1/L  0ºt  v*dt. 
Question 117,11. A voltage across a capacitor of 0.5F is defined by,"V (t) = [0, t<0","            2t, 0<t<2s","            4e-(t-2), t>2s]",Find i (t).,a,Explanation: i= C*(dv/dt).
Question 118,"12. If the voltage across a capacitor is constant, then current passing through it is ________",a) 1,b) 0,c) -1,d) Infinity,b,Explanation: I= c*(dv/dt).
Question 119,13. An Inductor works as a ___________ circuit for DC supply.,a) Open,b) Short,c) Polar,d) Non-polar,b,Explanation: Induced voltage across an inductor is zero if the current flowing through it is constant. I.e. Inductor works as a short circuit for DC supply.
Question 120,14. The insulating medium between the two plates of capacitor is known as __________,a) Electrode,b) Capacitive medium,c) Conducting medium,d) Dielectric,d,Explanation:  The conducting surfaces are called electrodes and the insulating medium is called Dielectric.
Question 121,15. If the current flowing through an inductor of inductance 0.3Henry is 5.3t2+4.7t. Calculate the power.,a) 0,b) 1,c) 16.854t3+22.41t2+6.62t,d) 15.3t3+27.8t2+19,c,Explanation: P= L*i*(di/dt). 
