Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,
Question 41,In surveying market a way to know what others are paying known as,salary survey,market survey,equity survey,motivation survey,A,No explanation,
Question 42,A combined refusal in buying products of employers union members as well as employees known as,boycott,impasse boycott,strike,picketing,A,No explanation,
Question 43,Each unit made by worker is paid  considered as,time based pay,performance based pay,promotion,salary increments,B,No explanation,
Question 44,In traditional focus rewards based on production is part of,training and development,performance appraisal,recruiting and placement,compensation and benefits,D,No explanation,
Question 45,Process of attracting selecting training and promoting employees through a particular firm is called,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 46,Employees 'career hazards' are dealt in,coaching,mentoring,career management,career development,B,No explanation,
Question 47,In traditional focus ratings or rewards are part of,training and development,performance appraisal,recruiting and placement,human resource planning,B,No explanation,
Question 48,In talent management end to end process workforce and succession planning leads to,compensation management,performance management,learning management systems,e-recruiting,A,No explanation,
Question 49,Concession employees gets in form of discounts in air ticket and bus fares is an example of,incentives,non direct payments,direct payments,salary increments,B,No explanation,
Question 50,Relationship between value of job and average salary paid for job is called,wage curve,salary curve,job evaluation curve,job description curve,A,No explanation,
Question 51,Types of third party negotiation known as arbitration includes,non-binding arbitration,interest arbitration,non-binding arbitration,all of above,D,No explanation,
Question 52,Company's paying strategies for employee's learning organizational skills included,pay for knowledge,skill-based pay,time based pay,Both A and B,D,No explanation,
Question 53,Managers and executives are often paid in form of,salaries,bonuses,promotion,shopping discounts,A,No explanation,
Question 54,Transition to independent contracts status is an example of,phased retirement,flexible work,honoring experience,modifying selection procedure,A,No explanation,
Question 55,Employees involuntary separation from a job for a certain time period known as,mergers,acquisitions,layoffs,downsizing,C,No explanation,
Question 56,An equal rating of all employees such as 'good' is called,lenient tendency,strict tendency,biasing tendency,central tendency,D,No explanation,
Question 57,According to business perspective employees carrying sign language in depicting their concerns regarded as,strike,picketing,boycott,impasse boycott,B,No explanation,
Question 58,Justice and fairness of a result of a decision is often classified as,descriptive justice,procedural justice,distributive justice,severance justice,C,No explanation,
Question 59,Aligning of skills training and performance to have a successful career is also known as,phased retirement,career management,talent management,modifying selection procedure,C,No explanation,
Question 60,Formal procedure in which job terminated person is counseled and trained to secure a job position by teaching self-appraising techniques is classified as,termination interview,outplacement counseling,exit interviews,subordination interviews,B,No explanation,
Question 61,Addition of new product lines in a company is,diversification,vertical integration,horizontal integration,geographic expansion,A,No explanation,
Question 62,First step in establishing pay rates is to,conduct salary survey,group similar jobs,price each pay grade,fine-time pay rates,A,No explanation,
Question 63,In a career development establishing career plans is a/an,individual role,managerial role,employer role,line manager's role,A,No explanation,
Question 64,Kind of union security in which organizations can hire current union members is classified as,closed shop,union shop,agency shop,preferential shop,A,No explanation,
Question 65,Lewin's process consists of,unfreezing stage,moving stage,refreezing stage,all of above,D,No explanation,
Question 66,In talent management end to end process an e-recruiting leads to,succession planning,performance management,compensation management,e-recruiting,A,No explanation,
Question 67,Mentoring by employees deals with,longer span of time,shorter span of time,resetting salary schedules,self-managing teams,A,No explanation,
Question 68,In a career development offering and discussing variety of paths for career development included,individual role,manager role,employer role,line manager,C,No explanation,
Question 69,Union security in which union members are given preferences in hiring classified as,closed shop,union shop,agency shop,preferential shop,D,No explanation,
Question 70,People choosing career as a 'managers' belongs to,enterprising orientation,investigative orientation,social orientation,conventional orientation,A,No explanation,
Question 71,Re-designing a business process in getting more efficient and effective results known as,redesigning jobs of workers,assigning additional activities to workers,moving workers from one job to the other,reengineering,D,No explanation,
Question 72,'Managing tasks effectively' comes under,personal competencies,interpersonal competencies,business management,Both A and C,A,No explanation,
Question 73,Term 'job enlargement' means,redesigning jobs for workers,assigning additional activities for workers,moving workers from one job to the other,none of above,B,No explanation,
Question 74,'moving stage' in Lewin's organizational change process considers,mobilize commitment,consolidation of gains,monitoring and assessing programs,reinforcement of new programs,B,No explanation,
Question 75,'self-designing organizations' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,C,No explanation,
Question 76,Formulating 'SMART' performance training objectives are a part of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,A,No explanation,
Question 77,Analyzing and identifying specific skills needed for specific job is called,need analysis competency model,competency model,task analysis,Both A and C,C,No explanation,
Question 78,Appraisals of employees must be discussed in context of,employees' career aspirations,performance applications,industry leading compensation,employee training,A,No explanation,
Question 79,In Lewin organizational change process 'creation of sense of urgency' is called,unfreezing stage,moving stage,refreezing stage,all of above,A,No explanation,
Question 80,In new approach of jobs pay rates employers are focusing on,employee's family name,employee's competency,employee's performance,employee's equity,B,No explanation,
Question 81,In a career development accepting responsibility for your own career is included in,an individual role,a manager role,a employer role,a line manager's role,A,No explanation,
Question 82,For an occupation of farming best classified personality orientation can be,realistic orientation,investigative orientation,social orientation,artistic orientation,A,No explanation,
Question 83,In employees pension plan a portion of employees earnings contribution into fund classified as,cash balance plans,early retirement window,deferred profit sharing plan,savings and thrift plan,D,No explanation,
Question 84,An informal employee-manager refers to,social recognition program,performance feedback,non-financial awards,financial awards,A,No explanation,
Question 85,Types of 'diversification' are,2,3,4,5,A,No explanation,
Question 86,Which personality type involves in individualistic activities to make people attracted towards careers ?,enterprising orientation,investigative orientation,social orientation,conventional orientation,A,No explanation,
Question 87,'HR' plans of any organization does not include,personnel plans,production plans,compensation plans,training and development plans,B,No explanation,
Question 88,Structured interview is also called,non directive interview,directive interview,both A and B,collaborative approach,A,No explanation,
Question 89,In 'job classification' group that contains jobs with similar difficulty level is called,classes,grades,rank jobs,combine ratings,B,No explanation,
Question 90,Centers of expertise provide special assistance in,updates regarding appraisal,production department,organizational change,long term strategic plan,C,No explanation,
Question 91,In traditional focus use of statistical data included,training and development,performance appraisal,recruiting and placement,human resources planning,D,No explanation,
Question 92,In quantitative measure employee's turnover and training hours called,human resource metrics,evidence based management,high performance work system,competitive advantage,A,No explanation,
Question 93,Term 'job enrichment' means,redesigning jobs for workers,assigning additional activities to workers,moving workers from one job to the other,reforming and analyzing the job,A,No explanation,
Question 94,A stage employee decides whether or not continue specific field known as,stabilization sub stage,trial sub stage,establishment stage,maintenance stage,B,No explanation,
Question 95,Organizational development consists of,action search,applying behavioral knowledge,change toward empowerment,all of above,D,No explanation,
Question 96,When person's performance in an interview is neither satisfactory nor correctable,satisfactory-promotable interview,satisfactory-not promotable interview,unsatisfactory-correctable interview,unsatisfactory-uncorrectable interview,D,No explanation,
Question 97,Pension plan in which specific amount of profit is transferred to employees account that are payable at time of retirement or death is classified as,deferred profit sharing plan,savings and thrift plan,cash balance plans,early retirement window,A,No explanation,
Question 98,Relationships section of job description defines whom would you,supervise,report to,work with,all of above,D,No explanation,
Question 99,'incentives' given to employees are a part of,non direct financial payment,direct financial payments,compensation,pension benefits,B,No explanation,
Question 100,Ways of direct financial payments are,increments based on time,increments based on piecework,increments based on overtime,increments based on occupations,A,No explanation,
Question 101,In how many dimensions HRD maturity level in an organization is measured?,3,4,5,6,B,No explanation,
Question 102,Research and development managers are classified as,conventional personality,non-conventional personality,investigative personality,non investigative personality,C,No explanation,
Question 103,'organizational confronting meeting' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,A,No explanation,
Question 104,Human resource department plays/serves as,advisory role,line authority,hiring department only,training department only,A,No explanation,
Question 105,In 'ABC' approach analyzing behaviors means,measuring aptitudes,measuring adequacy of tools,measuring adequacy of training,all of above,D,No explanation,
Question 106,Stage in career management that spans roughly between 24 to 44 and heart of people's career is,stabilization sub-stage,trial sub stage,establishment stage,maintenance stage,C,No explanation,
Question 107,Employees who are more committed and loyal to employer more likely to,leave before retirement age,stay beyond than retirement age,never leave the firm,never encouraged by employers,B,No explanation,
Question 108,In 'ABC' approach reviewing consequences means,reviewing reward system,reviewing performance appraisal,reviewing line of authority,reviewing staff authority,A,No explanation,
Question 109,A cycle that starts from first job to promotion until retirement is called,career management,career management life cycle,on boarding,performance management,B,No explanation,
Question 110,Dismissal of employee who violates law of contractual arrangements stated by employer is classified as,descriptive termination,distributive termination,wrongful discharge,wrongful termination,C,No explanation,
Question 111,Advancements in position with increased responsibility is called,promotions,transfers,reality shock,formal training,A,No explanation,
Question 112,An advantage of Management by Objectives (MBO) is,avoids central tendency and biases,jointly agreed performance objectives,provides behavioral anchors,ongoing basis evaluation,B,No explanation,
Question 113,A pension plan an employer's acknowledgement of financial standing of employee's account placing percentage on basis of annual compensation and interest regarded as,cash balance plan,severance pay plan,early retirement window plan,employee stock ownership plan,A,No explanation,
Question 114,Bottom line of any business plan is,marketing plan,financial plan,personnel plan,production plan,B,No explanation,
Question 115,"What does ""TCN"" stand for",host country national,expatriates,home country national,Third country national,D,No explanation,
Question 116,Main disadvantage of critical incident method is,difficult to develop,cause of disagreements,time consuming,difficult to rate,D,No explanation,
Question 117,An event employees participation in skills practice sessions known as,training and development,performance appraisal,recruiting and placement,career planning workshops,D,No explanation,
Question 118,Gender discrimination lower appraisal rating is an example of,lenient/strict tendency,bias,central tendency,different tendencies,B,No explanation,
Question 119,Position Analysis Questionnaire (PAQ) for job analysis is,quantitative technique,qualitative technique,both A and B,none of above,A,No explanation,
Question 120,Opening retail stores way 'Apple' has opened  a classic example of,vertical integration,horizontal integration,consolidation,geographic expansion,A,No explanation,
Question 121,Assisting managers in HR functions of management known as,line manager,First line supervisor,staff manager,all of above,C,No explanation,
Question 122,A technique including formal methods for testing effectiveness of training program considered as,design of evaluation,controlled experimentation,in-house development,consolidation of gains,B,No explanation,
Question 123,Situation subordinates collude to rate high with each other known as,logrolling,dialog rolling,up rating,lenient/strict tendency,A,No explanation,
Question 124,'Silk Road Technologies' talent management system includes,applicant tracking,on boarding,performance management,all of above,D,No explanation,
Question 125,In big five models 'agreeableness' is tendency to be,sociable,trusting,compliant,both b and c,D,No explanation,
Question 126,A stage leaders create task forces to diagnose problem while carrying shared understanding regarded as,unfreezing stage,moving stage,refreezing stage,nonmoving stage,A,No explanation,
Question 127,A strategy employees seeking flexibility in workforce workplace within same company regarded as,promotions,transfers,reality shock,formal training,B,No explanation,
Question 128,Engineer occupation classified as,realistic,investigative,artistic,social,A,No explanation,
Question 129,A method executive's strengths and weaknesses are being questioned by external consultant known as,behavior modeling,role playing,in-house development center,executive coach,D,No explanation,
Question 130,Low cost foreign competition classified as,potential opportunities,potential threats,potential strengths,potential weaknesses,B,No explanation,
Question 131,A managerial approach focusing on improving work methods situation analysis and observation known as,linking performance and pay,scientific management movement,performance based system,low-performance work system,B,No explanation,
Question 132,Advantage of 'BARS' system is,simple to use,avoids central tendency and biases,ends up with predetermined rating figures,providing behavioral anchors,D,No explanation,
Question 133,A category testing learned skills and principles known as,measuring reaction,measuring learning,measuring behavior,measuring results,B,No explanation,
Question 134,Pay is rewarded according to strict proportionality between rewards and production results known as,straight piecework,proportional piecework,dis-proportional piecework,variable piecework,A,No explanation,
Question 135,Credit managers tend to be classified as personality oriented of,non-conventional,conventional,non artistic,realistic,B,No explanation,
Question 136,A plan accommodate employees preferences of planning for benefit classified as,cafeteria benefit plans,fixed benefit plans,flexible benefit plans,both a and c,C,No explanation,
Question 137,Basic approach in employee's performance compares with their current performance to,set standards,performance in previous years,performance in last job,none of above,A,No explanation,
Question 138,First step in validating a test is to,analyze the job,choose the tests,administer the tests,Relate test scores,A,No explanation,
Question 139,An aim of 'performance appraisal' is to,fire the employee,motivate the employee,counsel the employee,hire the employee,B,No explanation,
Question 140,Notion that woman and men should collect equal pay for comparable skills considered as,comparable worth,incomparable worth,definable worth,indefinable worth,A,No explanation,
Question 141,Focus on long-term issue that are hard-to-reverse are part of,coaching,mentoring,informal training,formal training,B,No explanation,
Question 142,In career development providing assistance programs for academic learning is an art of,individual role,manager role,employer role,line manager,C,No explanation,
Question 143,An availability of information systems to integrate succession planning with recruitment is part of,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 144,Which factor does not involve in communication to employees,interviewing,disciplining,counseling,compensating,D,No explanation,
Question 145,Unstructured interview is also called,non directive interview,directive interview,both A and B,none of above,B,No explanation,
Question 146,Health insurance of employees is included in,basic pay,short-term benefits,executive perks,job ranking,C,No explanation,
Question 147,Reinforcement of new culture by organization's manager can be concluded in,unfreezing stage,moving stage,refreezing stage,nonmoving stage,C,No explanation,
Question 148,Second step in ranking method of job evaluation is to,combine ratings,rank jobs,selecting compensable factors,grouping jobs,D,No explanation,
Question 149,In career development employees self-assessment for their own values are being considered regarded as,individual role,managerial role,employer role,line manager's role,A,No explanation,
Question 150,In career development communicating company mission and vision is included in,individual role,managerial role,employer role,line manager's role,C,No explanation,
Question 151,'performance management' is always,goal oriented,performance oriented,sales oriented,none of above,A,No explanation,
Question 152,An interview candidates are being asked about relevant past experiences known as,situational interview,stress interview,behavioral test,job related interview,B,No explanation,
Question 153,A list consisting of job duties and responsibilities part of,job descriptions,job analysis,job specifications,both A and C,A,No explanation,
Question 154,In big five model 'extraversion' is tendency to be,assertive,unconventional,autonomous,achievement,A,No explanation,
Question 155,In big five model 'conscientiousness' is tendency to be,unconventional,assertive,achievement,autonomous,C,No explanation,
Question 156,Time period in which many people have few responsibilities and authority is called,exploration stage,growth stage,midcareer crisis sub stage,decline stage,D,No explanation,
Question 157,'cooperative union-management projects' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,B,No explanation,
Question 158,'integrated strategic management' is an example of,action research,survey research,marketing research,human research,A,No explanation,
Question 159,'unfreezing stage' in Lewin organizational change process considered as,mobilize commitment,consolidation of gains,monitoring and assessing programs,creating guiding coalition,A,No explanation,
Question 160,An employer; not paying for title of job and hired  regarded as,pay based on company's profit,pay based on company's stocks,pay based on competency,pay based on time,C,No explanation,
Question 161,Traditional pay plan used in companies is mostly,person oriented,job oriented,tenure oriented,evaluation oriented,B,No explanation,
Question 162,'reward systems' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,D,No explanation,
Question 163,Coordination of several human resource activities is required in,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 164,An alternation ranking method is often classified as,What you are measuring?,how you are measuring performance,what are the set standards,the rules of performance appraisals,B,No explanation,
Question 165,Procedure of ranking jobs or grouping in clusters is included in,getting job information,combining ratings,ranking jobs,selecting and grouping jobs,D,No explanation,
Question 166,What our business is' is stated in,mission statement,strategic goals,vision statement,all of above,A,No explanation,
Question 167,Public relations executives tend to be one of personality orientation types regarded as,non artistic,artistic,non enterprising,non-conventional,B,No explanation,
Question 168,A test examinees respond to situations representing jobs known as,situational test,reasoning test,video simulation test,job training,A,No explanation,
Question 169,Revenue growth is included in,short-term of shareholder value,compensation of company executive,determination of stocks,determination of investment,A,No explanation,
Question 170,In career development providing performance feedback which is career oriented is part of,individual's role,manager's role,employer's role,line manager,C,No explanation,
Question 171,Bankers and accountants are mostly having a specific personality type known as,realistic,investigative,artistic,conventional,D,No explanation,
Question 172,Determining duties and characteristics of positions in staffing known as,job descriptions,job analysis,job specifications,both A and C,B,No explanation,
Question 173,External and internal audit of a company includes,economic trends,political trends,competitive trends,all of above,D,No explanation,
Question 174,Comparison of company's performance in context of before and after change is,mobilize commitment,consolidation of gains,monitoring and assessing programs,creating guiding coalition,C,No explanation,
Question 175,In traditional focus rewards for employees which are based on talent is a part of,training and development,performance appraisal,recruiting and placement,compensation and benefits,D,No explanation,
Question 176,In Lewin organizational change process 'communication of shared vision' is,unfreezing stage,moving stage,refreezing stage,all of above,C,No explanation,
Question 177,In career development focus individual goal setting is part of,training and development,performance appraisal,recruitment and placement,human resource planning,B,No explanation,
Question 178,In career development focus providing information about career path is futile part of,training and development,performance appraisal,recruiting and placement,compensation and benefits,A,No explanation,
Question 179,Easiest performance appraisal interview is,satisfactory-promotable interview,satisfactory-not promotable interview,unsatisfactory-correctable interview,unsatisfactory-uncorrectable interview,A,No explanation,
Question 180,People who are more attracted towards career involving in organizational understanding are said to be,realistic oriented,investigative oriented,social oriented,artistic oriented,B,No explanation,
Question 181,Strategy to understand problem and to formulate hypothesis is called,planning,preparation,follow-up,compensating employees,A,No explanation,
Question 182,Diversification' can be best classified as,potential opportunities,potential threats,potential strengths,potential weaknesses,A,No explanation,
Question 183,Third step in 'ranking method' of evaluating job method is to,select compensable factors,combine ratings,rank jobs,select and group jobs,D,No explanation,
Question 184,Items for bargaining that are not allowed to deal by law are classified as,voluntary bargaining items,permissible bargaining items,illegal bargaining items,mandatory bargaining items,C,No explanation,
Question 185,An interview in which you ask about a candidate's behavior in a certain given situation is,situational interview,situational test,behavioral tests,job related questions,A,No explanation,
Question 186,Document that consists of all ethical standards that employer expects from employees is classified as,ethics code,descriptive code,procedural code,distributive code,A,No explanation,
Question 187,'Benchmarking' of jobs is included in,internal equity,external equity,procedural equity,salary survey,D,No explanation,
Question 188,Financial and investment counseling is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 189,An outline of chain of command and reporting relationships in form of chart is stated in,organization chart,process chart,process management,production unit,A,No explanation,
Question 190,A group interviewer questions are being asked from group of interviewee considered as,panel interview,mass interview,computer interview,personal interview,B,No explanation,
Question 191,Understanding behavior and culture of host country's market by host manager in corporation orientation is known to be,ethnocentric,polycentric,geocentric,expat-centric,B,No explanation,
Question 192,Disadvantage of Management by Objectives (MBO) method is,difficult to develop,cause of disagreements,time consuming,difficult to rate,C,No explanation,
Question 193,An evaluation process of employee's performance in comparison to set standards is called,performance appraisal,compensation,counseling,design of evaluation,A,No explanation,
Question 194,In arbitration dispute parties no longer accord with agreement willing to change existing agreement known as,binding arbitration,non-binding arbitration,interest arbitration,rights arbitration,C,No explanation,
Question 195,People who are attracted to career involving expression of emotions belongs to personality type of,enterprising orientation,investigative orientation,social orientation,conventional orientation,A,No explanation,
Question 196,First step in 'Job ranking' evaluation method is to,obtain job information,select and group jobs,select compensable factors,rank jobs,A,No explanation,
Question 197,Increments based on performance is a basis of,direct financial payments,non direct financial payments,direct compensation,bonuses,A,No explanation,
Question 198,A manager reviewing 'Does employee's training is adequate' is part of,antecedents,behavior,consequences,counseling,B,No explanation,
Question 199,In career development seeking out career resources is included in,individual role,manager role,employer role,line manager,A,No explanation,
Question 200,Top management works on,strategic plan,corporate plan,budgeting,both A &amp; B,A,No explanation,
Question 201,Counseling employees for second careers inside firm is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 202,Kind of pension plan in which employer's contribution is specified in employees retirement savings funds is classified as,defined benefit pension plan,defined contribution pension plan,defined noncontributory pension plan,deferred contribution pension plan,B,No explanation,
Question 203,Sabbatical leave funeral leave jury duty and vacations are examples of,optional pay benefits,unemployment pay benefits,compensation law benefits,supplemental pay benefits,D,No explanation,
Question 204,Compensation for top executive job is largely based on,job complexity,employer's ability to pay,executive's human capital,all of above,D,No explanation,
Question 205,An appraisal interview which results in occasional 'well-done' technique is said to be,satisfactory-promotable interview,satisfactory-not promotable interview,unsatisfactory-correctable interview,unsatisfactory-uncorrectable interview,B,No explanation,
Question 206,Person's fixed pay and guaranteed bonus is included in,base pay,short-term incentives,executive benefits,long-term incentives,A,No explanation,
Question 207,Types of interventions to overcome effect of impasse included,fact finder,arbitration,mediation,all of above,D,No explanation,
Question 208,Achieving aims and monitoring results in HR management of financial and non-financial goals regarded as,HR scorecard,HR digital dashboard,both A and B,none of above,A,No explanation,
Question 209,In career development establishing self-career goals is included in,an individual role,a managerial role,an employer role,a line manager's role,A,No explanation,
Question 210,Training effects that are to be measured consist of,reaction,learning,behavior,all of above,D,No explanation,
Question 211,Management guru Edward Deming argues that employee's performance is result of,training communication,quality management,own motivation,both A and B,D,No explanation,
Question 212,In which incentive executives are given right to purchase stocks for specific period ?,long-term incentives,short-term incentives,pay scale,ranking jobs,A,No explanation,
Question 213,'formal structural change' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,B,No explanation,
Question 214,Strategy employers follow to vacate a position where employee is no longer needed is included in,promotions,transfers,reality shock,formal training,B,No explanation,
Question 215,An 'Equity theory of Motivation' does not include,internal equity,external equity,collective equity,individual equity,C,No explanation,
Question 216,According to Herzberg job working conditions are considered as,hygiene's,DE motivators,intrinsic hygiene's,extrinsic hygiene's,A,No explanation,
Question 217,Ranking of job based on difficulty is,job description,job specification,job evaluation,ranking method,D,No explanation,
Question 218,For continuous work growth company's direct non-financial and financial payments are being received by employees categorized as,benefits,stock ownership,loyalty scholarships,all of above,A,No explanation,
Question 219,Mentoring is very useful when mentors works for,same department,different department,informal training,formal training,A,No explanation,
Question 220,In career development providing individual development plans for employees is part of,individual role,manager role,employer role,line manager,C,No explanation,
Question 221,Providing step by step training and enlisting job's basic tasks is,job rotation,off the job training,job instruction training,apprenticeship training,C,No explanation,
Question 222,Two basic issues to address in training evaluation are,design of evaluation,the things to measure,in-house development,Both A and B,D,No explanation,
Question 223,Which term describes union membership is not required as a condition of employment classified as,right to proceed,right to work,right to get hired,right to join a union,B,No explanation,
Question 224,Formulating 'SMART' performance training objectives is included in,need analysis,instructional design,implement,evaluate,B,No explanation,
Question 225,Solving and implementing solutions in empowering employees to review problems can best classified as,action research,customer research,marketing research,human research,A,No explanation,
Question 226,Advantage of 'graphic rating scale method' is that; it is,simple to use,avoids central tendency and biases,ends up with predetermined rating figures,an ongoing basis evaluation,A,No explanation,
Question 227,Career planning and development is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,D,No explanation,
Question 228,'refreezing stage' considers,mobilize commitment,consolidation of gains,creating guiding coalition,reinforcement of new programs,D,No explanation,
Question 229,Period in which people act as mentors for younger employees is called,exploration stage,growth stage,midcareer crisis sub stage,decline stage,D,No explanation,
Question 230,'corporate strategy' does not include,diversification,consolidation,cost leadership,vertical integration,C,No explanation,
Question 231,People who are 'public relations executives' are best classified as,enterprising orientation,investigative orientation,social orientation,conventional orientation,A,No explanation,
Question 232,Most of time manager of 'Human Resource' department is,line manager,staff manager,active manager,both A and B,B,No explanation,
Question 233,Approaches used to compare jobs are,intuitive approaches,systematic approaches,mathematical approaches,logical approaches,A,No explanation,
Question 234,An analysis of pending retirements should include,determination of average retirement age,planning pension benefits,determine extent of retirement problem,all of above,D,No explanation,
Question 235,Work experience and field of study are included in,working capital,human capital,compensation capital,size of working capital,B,No explanation,
Question 236,Method in which 'problem to be solved' is described for employees is called,job rotation,action learning,lifelong learning,case study method,D,No explanation,
Question 237,People; having social personality type often choose careers as,auto sales dealers,school administrators,lawyers,both A and B,D,No explanation,
Question 238,Benefit paid to terminated employees or laid-off employees is,vacations and holidays,lifelong learning,severance pay,optional pay benefits,C,No explanation,
Question 239,Voluntary withdrawal of labor of company is classified as,strike,picketing,boycott,impasse boycott,A,No explanation,
Question 240,'employ's wellness responsibility' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,D,No explanation,
Question 241,'coherent career' plan links,employee's performance,career interests,developmental needs,all of above,D,No explanation,
Question 242,Comparison of employees' actual performance with set standards is involved in,leading,organizing,controlling,staffing,C,No explanation,
Question 243,Theory according to which people are motivated in a sequence of hierarchy of needs is called,prepotency process principle,prepotency process principle,process principle,hierarchy principle,A,No explanation,
Question 244,Improving current and future management performance is called,job rotation,job training,lifelong learning,management development,D,No explanation,
Question 245,Frederick Herzberg Abraham and Maslow gave theories of,motivation,HR system,appraisal system,performance based appraisal,A,No explanation,
