Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,
Question 12,A lump of two metals weighing 18 g is worth Rs. 87 but if their weight is interchanged it would be worth Rs. 78.60. If the price of one metal be Rs. 6.70 per gram find the weight of the other metal in the mixture.,8g,12g,15g,18g,A, Cost of (18 g of 1st metal + 18 g of 2nd metal) = Rs. 165.60Cost of (1 g of 1st metal + 1 g metal of 2nd metal) = Rs. 9.20Hence cost of 1 g of 2nd metal= 9.20 - 6.70= Rs. 2.5Mean price = Rs. 87/18Now quantity of 1st metal /quantity of 2nd metal = 14/6:56/30 = 5:4Quantity of 2nd metal = (18*4)/9 = 8 g.,,,,,,,
Question 13,A vessel contains milk and water in the ratio 3:2. The volume of the contents is increased by 50% by adding water to it. From this resultant solution 30 L is withdrawn and then replaced with water. The resultant ratio of milk water in the final solution is 3:7. Find the original volume of the solution.,80 L,65 L,75 L,82 L,A, Let the original volume be x.then quantity of milk and water= 3x/5 and 2x/5 respectively.After adding water to it the volume becomes 150% the quantity of milk and water= 3x/5 and 9x/10.{(3x/5)-12} / {(9x/10)+12} = 3/714(3x-60) = 3(9x+120)Or x = 80 L.More Explanation:Ratio of milk to water = 3:2.Do we can take the volume of milk to be 3V and the volume of water to be 2V and the total volume to be 3V + 2V = 5V.Volume is increased by 50% by adding water. Therefore volume goes from 5V to 7.5V (an increase of 2.5V). Since only water has been added the NEW volume of water in solution is now 2V + 2.5V = 4.5V.And the new ratio of milk to water is 3:4.5Now 30 liters are withdrawn. Since we know the new ratio we can calculate that the volume of milk withdrawn is (30/7.5)*3 = 12 liters which means 18 liters of water have,,,,,,,
Question 14,3 L water is taken out from vessel full of water and substituted by pure milk. This process is repeated two more times. Finally the ratio of milk and water in the solution becomes 1728:27. Find the volume of the original solution.,3 L,5 L,4 L,9 L,C,We use formula for it wheren = no. of time process of out going repeated.y = Out going milk in process.x = Volume of original solution.F = Final milk left in mixture.Final quantity of water= x[1-(y/x)]n= x[1-(3/x)]3F/x = x[1-(3/x)]327/1728 = x[1-(3/x)]3Or x = 4 L.,,,,,,,
Question 15,One quantity of wheat at Rs 9.30 per Kg is mixed with another quality at a certain rate in the ratio 8:7. If the mixture so formed be worth Rs 10 per Kg what is the rate per Kg of the second quality of wheat?,Rs. 12.47,Rs. 10.80,Rs. 15.17,Rs. 47.66,B,Let the rate of second quality be Rs x per Kg.C.P of 1Kg wheat of 1st kind = 930pC.P of 1 Kg wheat of 2nd kind = 100x pMean price = 1000pBy rule of alligation we have required ratio 8 : 7930 x / (Mean Price) (1000) / (x-10) : 0.7So we get required ratio (x-10) : 0.7 :: 8 : 7äˆÍ x = 10.80 per Kg,,,,,,,
Question 16,In a zoo there are Rabbits and Pigeons. If heads are counted there are 200 and if legs are counted there are 580. How many pigeons are there?,90,100,110,120,C,Heads Count = 200.Legs count = 580.Average Legs count for per head = 580/200 = 29/10.Rabbits : Pigeons = (9/10) : (11/10)= 9 : 11.Number of Pigeons = (200 *11)/20 = 110.,,,,,,,
Question 17,A vessel is filled with liquid 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?,01-Mar,01-Apr,01-May,01-Jul,C, Suppose the vessel initially contains 8 litres of liquid.Let x litres of this liquid be replaced with water.,,,,,,,
Question 18,Tea worth Rs. 126 per kg and Rs. 135 per kg are mixed with a third variety in the ratio 1 : 1 : 2. If the mixture is worth Rs. 153 per kg the price of the third variety per kg will be:,Rs. 169.50,Rs. 170,Rs. 175.50,Rs. 180,C, Since first and second varieties are mixed in equal proportions.So their average priceSo the mixture is formed by mixing two varieties one at Rs. 130.50 per kg and the other at say Rs. x per kg in the ratio 2 : 2 i.e. 1 : 1. We have to find x.,,,,,,,
Question 19,A can contains a mixture of two liquids A and B is the ratio 7 : 5. When 9 litres of mixture are drawn off and the can is filled with B the ratio of A and B becomes 7 : 9. How many litres of liquid A was contained by the can initially?,10,20,21,25,C, Suppose the can initially contains 7x and 5x of mixtures A and B respectively.Quantity of A in mixture leftQuantity of B in mixture left,,,,,,,
Question 20,A milk vendor has 2 cans of milk. The first contains 25% water and the rest milk. The second contains 50% water. How much milk should he mix from each of the containers so as to get 12 litres of milk such that the ratio of water to milk is 3 : 5?,4 litres 8 litres,6 litres 6 litres,5 litres 7 litres,7 litres 5 litres,B,None,,,,,,,
Question 21,In what ratio must a grocer mix two varieties of pulses costing Rs. 15 and Rs. 20 per kg respectively so as to get a mixture worth Rs. 16.50 kg?,3:07,5:07,7:03,7:05,C,None,,,,,,,
Question 22,A dishonest milkman professes to sell his milk at cost price but he mixes it with water and thereby gains 25%. The percentage of water in the mixture is:,4%,6.25%,20%,25%,C,None,,,,,,,
Question 23,How many kilogram of sugar costing Rs. 9 per kg must be mixed with 27 kg of sugar costing Rs. 7 per kg so that there may be a gain of 10% by selling the mixture at Rs. 9.24 per kg?,36 kg,42 kg,54 kg,63 kg,D,None,,,,,,,
Question 24,A container contains 40 litres of milk. From this container 4 litres of milk was taken out and replaced by water. This process was repeated further two times. How much milk is now contained by the container?,26.34 litres,27.36 litres,28 litres,29.16 litres,D, Amount of milk left after 3 operations,,,,,,,
Question 25,A jar full of whisky contains 40% alcohol. A part of this whisky is replaced by another containing 19% alcohol and now the percentage of alcohol was found to be 26%. The quantity of whisky replaced is:,01-Mar,02-Mar,02-May,03-May,B,None,,,,,,,
Question 26,In what ratio must water be mixed with milk to gain 16 äƒî% on selling the mixture at cost price?,1:06,6:01,2:03,4:03,A,None,,,,,,,
Question 27,Find the ratio in which rice at Rs. 7.20 a kg be mixed with rice at Rs. 5.70 a kg to produce a mixture worth Rs. 6.30 a kg.,1:03,2:03,3:04,4:05,B,None,,,,,,,
Question 28,In what ratio must a grocer mix two varieties of tea worth Rs. 60 a kg and Rs. 65 a kg so that by selling the mixture at Rs. 68.20 a kg he may gain 10%?,3:02,3:04,3:05,4:05,A,None,,,,,,,
Question 29,The cost of Type 1 rice is Rs. 15 per kg and Type 2 rice is Rs. 20 per kg. If both Type 1 and Type 2 are mixed in the ratio of 2 : 3 then the price per kg of the mixed variety of rice is:,Rs. 18,Rs. 18.50,Rs. 19,Rs. 19.50,A,None,,,,,,,
Question 30,8 litres are drawn from a cask full of wine and is then filled with water. This operation is performed three more times. The ratio of the quantity of wine now left in cask to that of water is 16 : 65. How much wine did the cask hold originally?,18 litres,24 litres,32 litres,42 litres,B, Let the quantity of the wine in the cask originally be x litres.Then quantity of wine left in cask after 4 operations,,,,,,,
Question 31,A merchant has 1000 kg of sugar part of which he sells at 8% profit and the rest at 18% profit. He gains 14% on the whole. The quantity sold at 18% profit is:,400 kg,560 kg,600 kg,640 kg,C,None,,,,,,,
Question 32,The ratio between the length and the breadth of a rectangular park is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes then the area of the park (in sq. m) is:,15360,153600,30720,307200,B, Perimeter = Distance covered in 8 min. =Let length = 3x metres and breadth = 2x metres.Then 2(3x + 2x) = 1600 or x = 160.Therefore Length = 480 m and Breadth = 320 m.Therefore Area = (480 x 320) m2 = 153600 m2.,,,,,,,
Question 33,An error 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area of the square is:,2%,2.02%,4%,4.04%,D, 100 cm is read as 102 cm.‰ö« A1 = (100 x 100) cm2 and A2 (102 x 102) cm2.(A2 - A1) = [(102)2 - (100)2]= (102 + 100) x (102 - 100)= 404 cm2.‰ö« Percentage error =,,,,,,,
Question 34,The ratio between the perimeter and the breadth of a rectangle is 5 : 1. If the area of the rectangle is 216 sq. cm what is the length of the rectangle?,16 cm,18 cm,24 cm,Data inadequate,B,None,,,,,,,
Question 35,The percentage increase in the area of a rectangle if each of its sides is increased by 20% is:,40%,42%,44%,46%,C, Let original length = x metres and original breadth = y metres.Original area = (xy) m2.The difference between the original area = xy and new-area 36/25 xy is= (36/25)xy - xy= xy(36/25 - 1)= xy(11/25) or (11/25)xy‰ö« Increase % =,,,,,,,
Question 36,A rectangular park 60 m long and 40 m wide has two concrete crossroads running in the middle of the park and rest of the park has been used as a lawn. If the area of the lawn is 2109 sq. m then what is the width of the road?,2.91 m,3 m,5.82 m,None of these,B, Area of the park = (60 x 40) m2 = 2400 m2.Area of the lawn = 2109 m2.‰ö« Area of the crossroads = (2400 - 2109) m2 = 291 m2.Let the width of the road be x metres. Then60x + 40x - x2 = 291‰àÕ x2 - 100x + 291 = 0‰àÕ (x - 97)(x - 3) = 0‰àÕ x = 3.,,,,,,,
Question 37,The diagonal of the floor of a rectangular closet is 7 1/2 feet. The shorter side of the closet is 4 1/2 feet. What is the area of the closet in square feet?,5 1/4,13 1/2,27,37,C, Outer Side‰ö« Area of closet = (6 x 4.5) sq. ft = 27 sq. ft.,,,,,,,
Question 38,A towel when bleached was found to have lost 20% of its length and 10% of its breadth. The percentage of decrease in area is:,10%,10.08%,20%,28%,D, Let original length = x and original breadth = y.Decrease in area‰ö« Decrease % =,,,,,,,
Question 39,A man walked diagonally across a square lot. Approximately what was the percent saved by not walking along the edges?,20,24,30,33,C, Let the side of the square(ABCD) be x metres.AC = ‰ö_2x = (1.41x) m.Saving on 2x metres = (0.59x) m.,,,,,,,
Question 40,The diagonal of a rectangle is ‰ö_41 cm and its area is 20 sq. cm. The perimeter of the rectangle must be:,9 cm,18 cm,20 cm,41 cm,B,None,,,,,,,
Question 41,What is the least number of squares tiles required to pave the floor of a room 15 m 17 cm long and 9 m 2 cm broad?,814,820,840,844,A, Length of largest tile = H.C.F. of 1517 cm and 902 cm = 41 cm.Area of each tile = (41 x 41) cm2.‰ö« Required number of tiles =,,,,,,,
Question 42,The difference between the length and breadth of a rectangle is 23 m. If its perimeter is 206 m then its area is:,1520 m2,2420 m2,2480 m2,2520 m2,D, We have: (l - b) = 23 and 2(l + b) = 206 or (l + b) = 103.Solving the two equations we get: l = 63 and b = 40.‰ö« Area = (l x b) = (63 x 40) m2 = 2520 m2.,,,,,,,
Question 43,The length of a rectangle is halved while its breadth is tripled. What is the percentage change in area?,25% increase,50% increase,50% decrease,75% decrease,B, Let original length = x and original breadth = y.Original area = xy.,,,,,,,
Question 44,The length of a rectangular plot is 20 metres more than its breadth. If the cost of fencing the plot @ 26.50 per metre is Rs. 5300 what is the length of the plot in metres?,40,50,120,None of these,D,None,,,,,,,
Question 45,A rectangular field is to be fenced on three sides leaving a side of 20 feet uncovered. If the area of the field is 680 sq. feet how many feet of fencing will be required?,34,40,68,88,D, We have: l = 20 ft and lb = 680 sq. ft.So b = 34 ft.‰ö« Length of fencing = (l + 2b) = (20 + 68) ft = 88 ft.,,,,,,,
Question 46,A tank is 25 m long 12 m wide and 6 m deep. The cost of plastering its walls and bottom at 75 paise per sq. m is:,Rs. 456,Rs. 458,Rs. 558,Rs. 568,C, Area to be plastered‰ö« Cost of plastering =,,,,,,,
Question 47,Ajit has a certain average for 9 innings. In the tenth innings he scores 100 runs thereby increasing his average by 8 runs. His new average is:,20,21,28,32,C, Let Ajit's average be x for 9 innings. So Ajit scored 9x run in 9 innings.In the 10th inning he scored 100 runs then average became (x+8). And he scored (x+8)*10 runs in 10 innings.Now=>9x+100 = 10*(x+8)Or 9x+100 = 10x+80Or x = 100-80Or x = 20New average = (x+8) = 28 runs.,,,,,,,
Question 48,The average temperature for Wednesday Thursday and Friday was 40oC. The average for Thursday Friday and Saturday was 41oC. If temperature on Saturday was 42oC what was the temperature on Wednesday?,39oC,44oC,38oC,41oC,A, Average temperature for Wednesday Thursday and Friday = 40oCTotal temperature = 3*40 = 120oCAverage temperature for Thursday Friday and Saturday = 41oCTotal temperature = 41*3 = 123oCTemperature on Saturday = 42oCNow(Thursday + Friday + Saturday) - (Wednesday + Thursday + Friday) = 123-120;Saturday - Wednesday = 3Wednesday = 42-3 = 39oC.,,,,,,,
Question 49,The average of the first five multiples of 9 is:,20,27,28,30,B, Required average = (total sum of multiple of 9)/5= (9+18+27+36+45)/5= 27Note that average of 9 and 45 is also 27.And average of 18 and 36 is also 27.,,,,,,,
Question 50,The speed of the train going from Nagpur to Allahabad is 100 km/h while when coming back from Allahabad to Nagpur its speed is 150 km/h. find the average speed during whole journey.,125 km/hr,75 km/hr,135 km/hr,120 km/hr,D,Average speed= (2*x*y)/(x+y)= (2*100*150)/(100+150)= (200*150)/250= 120 km/hr.,,,,,,,
Question 51,Find the average of first 97 natural numbers.,47,37,48,49,D, 1st Method:Average of 1st n natural number is given by = ([n*(n+1)]/2)/nAverage of 1st 97 natural number is given by = {([97*(97+1)]/2)/97} = 492nd Method:These numbers are in AP series so average= (sum of corresponding term)/2= (1+97)/2 = 49Or (2+96)/2 = 49Or (3+95)/2 = 49 And so on.,,,,,,,
Question 52,The average age of three boys is 15 years. If their ages are in ratio 3:5:7 the age of the youngest boy is,21 years,18 years,15 years,9 years,D, Sum of ages of three boys = 45 yearsNow (3x+5x+7x) = 45Or 15x = 45Or x = 3So age of youngest boy = 3x = 3*3 = 9 years.,,,,,,,
Question 53,The average of a group of men is increased by 5 years when a person aged of 18 years is replaced by a new person of aged 38 years. How many men are there in the group?,3,4,5,6,B, Let N be the no. of persons in the group.Required number of person is given by;Member in group* aged increased = difference of replacementN*5 = 38-18Or 5N = 20Or N = 4.,,,,,,,
Question 54,In a boat there are 8 men whose average weight is increased by 1 kg when 1 man of 60 kg is replaced by a new man. What is weight of new comer?,70,66,68,69,C, Member in group * age increased = difference of replacementOr 8*1 = new comer - man going outOr new comer = 8+60;Or new comer = 68 years.,,,,,,,
Question 55,The average of 25 results is 18. The average of first 12 of those is 14 and the average of last 12 is 17. What is the 13th result?,74,75,69,78,D, Sum of 1st 12 results = 12*14Sum of last 12 results = 12*1713th result = x (let)Now12*14+12*17+x = 25*18Or x = 78.,,,,,,,
Question 56,A train covers the first 16 km at a speed of 20 km per hour another 20 km at 40 km per hour and the last 10 km at 15 km per hour. Find the average speed for the entire journey.,24 km,26 km,21 km,23(23/59) km,D, Average speed = total distance covered/ total timeTotal distance = (16+40+10) = 46 kmTime taken = (16/20)+ (20/40)+ (10/15) = 59/30Average speed = 46*30/59 = 23(23/59) km/hr.,,,,,,,
Question 57,The average monthly salary of 660 workers in a factory is Rs. 380. The average monthly salary of officers is Rs. 2100 and the average monthly salary of the other workers is Rs. 340. Find the number of other workers.,645,650,640,642,A, Total salary of 660 workers = 660*380 = Rs. 250800;If other workers be x; then[(660-x)*2100]+340x = 250800Or 1386000-2100x+340x = 2508001760x = 1135200Hence x = 1135200/1760 = 645Number of other workers = 645.,,,,,,,
Question 58,The average marks of four subjects is 120. If 33 was misread as 13 during the calculation what will be the correct average?,122,120,125,121,C, Correct average = 120 + ((33-13)/4) = 120 + 5 = 125Solve while reading Method:Average given is 120. Difference of 33 and 13 is 20. That means 20 must be added to total. Then average of 20 is 5 and so 5 must be added to average i.e. correct average = 120+5 = 125.,,,,,,,
Question 59,Students of three different classes appeared in common examination. Pass average of 10 students of first class was 70% pass average of 15 students of second class was 60% and pass average of 25 students of third class was 80% then what will be the pass average of all students of three classes?,74%,75%,69%,72%,D,Sum of pass students of first second and third class= (70% of 10) + (60% of 15)+ (80% of 25)= 7+9+20 = 36Total students appeared= 10+15+25 = 50Pass average= 36*100/50 = 72%.,,,,,,,
Question 60,A man travels equal distances of his journey at 40 30 and 15 km/h. respectively. Find his average speed for whole journey.,24,25,27,28,A, Required average speed= [(3*40*30*15)/{(40*30)+(40*15)+(30*15)}]= 24 km/hr. Alternatively Time taken to traveled 1/3 distance of journey with speed 40 kmph = (1/3)/40 = 1/120. Time taken to traveled 1/3 distance of journey with speed 30 kmph = (1/3)/30 = 1/90. Time taken to traveled 1/3 distance of journey with speed 15 kmph = (1/3)/15 = 1/45. Total time Taken = (1/120) + (1/90) + (1/45) = 45/1080. Average speed = Total distance traveled /total time taken = 1/(45/1080) = 24 kmph.,,,,,,,
Question 61,Five years ago the average age of A B C and D was 45 yr. with E joining them now the average of all the five is 49 yr. How old is E?,25 yr,40 yr,45yr,64 yr,C,Total present age of A B C and D= (45*4)+(4*5) = 200 yr;Total age present age of A B C D and E= 49*5 = 245 yr.So age of E = 45 yr.,,,,,,,
Question 62,Average of 80 numbers are 42. When 5 more numbers are included the average of 85 numbers become 45. Find the average of 5 numbers.,82,89,93,98,C, Total of 80 numbers = 80*42 = 3360;Now total of 85 numbers = 85*45 = 3825;Hence sum of 5 numbers = 3825-3360 = 465;Average of five numbers = 465/5 = 93.Solve while reading Method:Average of 80 number was 42 when 5 more numbers are added average become 45 that means 3 is given to each number to make their average 45 and 5 numbers also keep 45 as to maintain the entire average.So the sum of five numbers = 240+225 = 465Hence average of five numbers = 93.,,,,,,,
Question 63,Find the average increase rate if increase in the population in the first year is 30% and that in the second year is 40%.,41,56,40,38,A, Let 100 be the original population.1st year's population increased = 30%So Population after first year = (100 +30% of 100) = 130. Population in second year increases by 40% then Population= (130 +40% of 130) = 182.The final population become 182 which was originally at 100. It means there is 82% increment in the population in 2 yearsSo Average increment = 82/2 = 41%.Mind Calculation Method:Increase in population is given by100==30%‰ Ô==>130==40%‰ Ô==> 182.Hence average increase = 82/2 = 41%,,,,,,,
Question 64,One-fourth of certain journey is covered at the rate of 25 km/h one-third at the rate of 30 km/h and the rest at 50 km/h. Find the average speed for the whole journey.,600/53km/h,1200/53 km/h,1800/53 km/h,1600/53 km/h,C, Let distance be 120 KM hence 30 KM is covered by @ 25 kmph and 40 km covered by @ 30 kmph and rest 50 km has been covered@ 50 km.Now average = (120/total time taken);= {120/[(30/25)+(40/30)+(50/50)}]= 3600/106 = 1800/53 km/h.,,,,,,,
Question 65,A batsman makes a score of 270 runs in the 87th inning and thus increase his average by a certain number of runs that is a whole number. Find the possible values of the new average.,98,184,12,All of these,D, Part of the runs scored in the 87th innings will go towards increasing the average of the first 86 innings to the new average and remaining part of the runs will go towards maintaining the new average for the 87th innings. The only constraint in this problem is that there is increase in average by a whole number of runs. This is possible for all three options.,,,,,,,
Question 66,There are five boxes in cargo hold. The weight of the first box is 200 kg and the weight of the second box is 20% higher than the weight of the third box whose weight is 25% higher than the first box's weight. The fourth box at 350 kg is 30% lighter than the fifth box. Find the difference in the average weight of the four heaviest boxes and the four lightest boxes.,51.5 kg,75 kg,37.5 kg,112.5 kg,B, The weight of boxes is;1st box = 200 kg;3rd box = 250 kg;2nd box = 300kg;4th box = 350 kg;5th box = 500 kg.Hence difference between heavier 4 and lighter 4 is 300.Hence difference in average is 75.,,,,,,,
Question 67,A school has only four classes that contain 10 20 30 and 40 students respectively. The pass percentage of these classes are 20% 30% 60% and 100% respectively. Find the pass % of the entire school.,56%,76%,34%,66%,D, The number of pass candidates are 2+6+18+40 = 66 out of total 100.HencePass pecentage = 66%.,,,,,,,
Question 68,19 people went to a hotel for combine dinner party 13 of them spent Rs. 79 each on their dinner and rest spent 4 more than the average expenditure of all the 19. What was the total money spent by them.,1628.4,1534,1492,None of these,D, Let average expenditure of 19 people be x.then19x = 13*79+6*(x+4);Or 19x = 13*79+6x+24;Or x = 80.84;So total money spent = 80.84*19 = Rs. 1536.07.,,,,,,,
Question 69,The average weight of 47 balls is 4 g. if the weight of the bag (in which the balls are kept) be included; the calculated average weight per ball increases by 0.3 g. What is the weight of the bag?,14.8g,14.4g,15g,None of these,D, Total weight of balls = 47*4 = 188 g;Total increased weight = 0.3*47 = 14.1 g.,,,,,,,
Question 70,A cricketer scored some runs in his 21st innings as a result his average runs increased by 3. If the present average run is 40 how many runs he scored in the final innings?,103,100,85,82,B, Let he scored X runs in final innings.Now37 *20 +X = 40 *21X = 840 -740 = 100.,,,,,,,
Question 71,Ajay working in a Cellular company as a salesman. His monthly salary is Rs. 200. But he gets bonus as per given rule. If he sells simcards of Rs. X then his bonus will be [(x /100)2 +10]. In the first quarter of the year his average sale was Rs. 3000 per month. In the next 5 five month his average sale was Rs. 5000 per month and for next four month his average sale was Rs. 8000 per month. What is the average earning per month for the whole year?,Rs. 3350,Rs. 3610,Rs. 3750,Rs. 3560,B, Bonus for the first three month= [(3000 /100)2 +10] *3= Rs. 2710.Bonus for the next five month= [(5000 /100)2 +10] *5= Rs. 12550.Bonus for the next four month= [(8000 /100)2 +10] *4= Rs. 25640.Total earning as bonus for whole year= 2710 + 12550 +25640= Rs. 40900.His average bonus = 40900 /12 = Rs. 3410Thus his average earning for whole year= 3410 + 200= Rs 3610.,,,,,,,
Question 72,A man has 'n' magical eggs whose average weight is 'k' gm. Each of the 'n' eggs produces 'n' eggs next day such that the average weight of 'n' eggs produced is same as that of the parental egg for each 'n' groups individually i.e. each egg produces 'n' eggs of next generation and average weight of all the 'n' eggs of next generation is same as the weight of the mother egg. This process is continued without any change in pattern. What is the total weight of all the eggs of rth generation where the initial number of eggs with man are considered as the eggs of first generation.,rnk,rnk,nkr,nrk,D, The weight is increasing in form of GP so the total weight of eggs in the end of rth will be nrk.,,,,,,,
Question 73,A man started his journey from Lucknow to Kolkata which is 200 km at the speed of 40 kmph then he went to Banglore which is 300 km at the speed of 20 kmph. Further he went to Ahmedabad which is 500 km at the speed of 10 kmph. The average speed of the man is :,14(2/7) kmph,14(5/7) Kmph,15.6 kmph,16.1 kmph,A, Average speed= (Total distance /Total time)= [(200+300+500)/{(200/40)+(300/20)+(500/10)}]= 1000/70= 14(2/7) kmph.,,,,,,,
Question 74,The average age of A B C D and E is 40 years. The average age of A and B is 35 years and the average of C and D is 42 years. Age of E is :,48,46,42,45,B, A+B+C+D+E = 40*5 = 200A+B = 35*2 = 70C+D = 42*2 = 84ThereforeE = (A+B+C+D+E )-(A+B+C+D ) = 200-70-84 = 46 years.,,,,,,,
Question 75,The mean weight of 100 students in a class is 46 kg. The mean weight of boys is 50 and of girls is 40 kg. Therefore the number of boys is:,50,60,70,65,B, Let number of boys are x and then number of girls = (100-x).Thus50x+(100-x)*40 = 46*100‰ Õ x = 60.Number of boys = 60.,,,,,,,
Question 76,There are three categories of jobs A B and C. The average salary of the student who got the job of A and B categories is 26 lakh per annum. The average salary of the students who got the job of B and C category is 44 lakh per annum and the average salary of those students who got the job of A and C categories is 34 lakh per annum. The most appropriate (or closet) range of average salary of all the three categories (if it is known that each student gets only one category of jobs i.e.  A B and C):,lies between 30 and 44,lies between 28 and 34,lies between 34 and 44,lies between 27 and 44,A, Let the number of students who got the job of A B and C categories is a b and c respectivelyThen the total salary= [{26(a+b)+44(b+c)+34(c+a)}/2(a+b+c)]= [(60a+70b+78c)/2(a+b+c)]= [30(a+b+c)+(5b+9c)]/(a+b+c)= 30 + some positive valueThus the minimum salary must be Rs. 30 lakh and the maximum salary can not exceed 44 which is the highest of the three.,,,,,,,
